Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou chalkogeny?;Prvky 16. skupiny periodické soustavy;Prvky alkalických kovů;Halogeny;Přechodné kovy
Který prvek je chalkogen?;Síra;Fluor;Chlor;Sodík
Jaký je oxidační stav kyslíku ve většině sloučenin?;-II;+I;+II;0
Jaká je charakteristická vlastnost chalkogenů?;Tvoří oxidy a sulfidy;Tvoří soli;Tvoří alkoholy;Jsou inertní
Jaká je elektronová konfigurace síry?;[Ne] 3s² 3p⁴;[He] 2s² 2p⁶;[Ar] 4s² 3d¹⁰;[Kr] 5s² 4d¹⁰
Jaké vlastnosti má síra?;Žlutá, nekovová, pevná látka;Kov lesklý a vodivý;Kapalina s ostrým zápachem;Plyn s vysokou hustotou
Kde se využívá síra?;Výroba kyseliny sírové, pryž, hnojiva;Barviva a léčiva;Zkapalněný plyn;Detergenty
Co jsou bílkoviny?;Makromolekuly tvořené aminokyselinami;Sloučeniny kovů;Nukleové kyseliny;Deriváty uhlovodíků
Co je základní stavební jednotka bílkovin?;Aminokyselina;Monosacharid;Nukleotid;Mastná kyselina
Kolik typů aminokyselin tvoří bílkoviny u člověka?;20;10;5;64
Co je primární struktura bílkoviny?;Pořadí aminokyselin v řetězci;Tvar spirály;Funkce bílkoviny;Spojení dvou řetězců
Co je sekundární struktura bílkoviny?;Uspořádání do spirály nebo skládaného listu;Tvar molekuly;Změna skupenství;Spontánní denaturace
Co je terciární struktura bílkoviny?;Prostorové uspořádání celé molekuly;Pořadí aminokyselin;Počet peptidových vazeb;Přítomnost dusíku
Co je denaturace bílkovin?;Změna struktury a ztráta funkce;Získání energie;Tvorba nových vazeb;Fosforylace bílkoviny
Co způsobuje denaturaci?;Teplota, pH, alkohol;Sluneční světlo;Rádioaktivita;Tlak
Jaké funkce mají bílkoviny?;Strukturní, enzymatické, transportní;Energetické;Zásobní glukózy;Barviva a pigmenty
Co je enzym?;Bílkovina urychlující chemické reakce;Hormon;Polysacharid;Lipid
Jaká je vazba mezi aminokyselinami v bílkovinách?;Peptidová vazba;Glykozidická vazba;Esterová vazba;Kovalentní dvojná
Který prvek je charakteristický pro bílkoviny?;Dusík;Vápník;Síra;Draslík
Co je globulární bílkovina?;Sférická, rozpustná ve vodě;Vláknitá, nerozpustná;Těžká, nerozpustná;Neaktivní forma enzymu
