Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co znamená 'mýtus' v antickém myšlení?;Původní způsob výkladu světa pomocí příběhů a bohů;Zákon o městě;Dětská pohádka;Moderní vynález
Kdo byli předsokratovští filosofové?;Filosofové před Sokratem, zkoumající přírodu a bytí;Římané, kteří psali básně;Středověcí učenci;Moderní myslitelé
Která škola patřila k předsokratovským?;Milétská škola;Aténská univerzita;Platónská akademie;Stoická škola
Kdo byl Thales z Milétu?;Předsokratovský filosof, považoval vodu za pralátku světa;Řecký král;Římský vojevůdce;Učitel Aristotela
Kdo byl Hérakleitos?;Filosof, který tvrdil, že vše plyne (panta rhei);Autor Bible;Římský císař;Středověký král
Kdo byli atomisté?;Filosofové, kteří věřili, že svět je složen z nedělitelných částic – atomů;Chemici;Básníci;Kněží
Kdo byli sofisté?;Putovní učitelé, zabývající se rétorikou a relativismem;Římané s mocí;Sochaři;Zemědělci
Co učil Sokrates?;Poznej sám sebe, ctnost jako nejvyšší hodnota;Žij pro peníze;Sláva je vše;Uč se zpaměti
Jak Sokrates učil své žáky?;Pomocí dialogu a otázek (maieutika);Zpěvem a kreslením;Skrze příběhy o bozích;Psaním zákonů
Kdo byl Platón?;Sokratův žák, zakladatel Akademie, autor teorie idejí;Císař Říma;Učitel Aristotela;Matematik a chemik
Co je teorie idejí?;Myšlenka, že za světem věcí existuje svět dokonalých idejí;Návrh na školní reformu;Pravidla logiky;Zákon gravitace
Kdo byl Aristoteles?;Žák Platóna, učitel Alexandra Velikého, autor logiky a etiky;Filosof středověku;Římský právník;Řecký vojevůdce
Co zkoumal Aristoteles?;Logiku, biologii, politiku, etiku;Sochařství;Hudbu a poezii;Astronomii a chemii
Co je helénismus?;Období po Alexandrově smrti s novými filozofickými směry;Zákon o obchodu;Věda o rostlinách;Římské dobyvatelství
Co je epikureismus?;Filozofie, která učí, že nejvyšší dobro je rozumná rozkoš;Touha po moci;Boj o svobodu;Vzdělání jako cíl
Kdo byl zakladatelem stoicismu?;Zénón z Kitia;Platón;Aristoteles;Diogenes
Co je podstatou stoicismu?;Žít v souladu s přírodou, ovládat vášně, být ctnostný;Hledat rozkoš;Usilovat o bohatství;Věnovat se poezii
Co je skepticismus?;Filozofie zpochybňující možnost jistého poznání;Náboženství starých Egypťanů;Hudební směr;Důvěra v reklamu
Kdo byl Plotinos?;Představitel novoplatonismu;Právník z Říma;Učitel stoiků;Zástupce empirismu
Proč je antická filosofie důležitá?;Založila základy evropského myšlení, vědy a demokracie;Změnila klima;Vytvořila písmo;Učila římské zákony
