Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je soukromé právo?;Právo upravující vztahy mezi jednotlivci;Právo určující zákony pro státní úředníky;Právo školy;Právo firmy na zisk
Co je občanské právo?;Součást soukromého práva upravující majetkové a osobní vztahy;Trestní zákoník;Zákon o státní službě;Volební zákon
Jaké jsou prameny občanského práva?;Občanský zákoník;Trestní zákoník;Školní řád;Zákoník práce
Co je vlastnictví?;Právo disponovat s určitou věcí;Odpovědnost za jinou osobu;Zákaz vstupu;Ztráta věci
Co jsou věcná práva?;Práva vztahující se k věcem – vlastnictví, zástava, služebnost;Práva na vzdělání;Práva zdravotní péče;Práva hlasování
Co jsou závazková práva?;Vznikají na základě smluv nebo škody;Práva daná při volbách;Práva státních zaměstnanců;Práva školních dětí
Jak vzniká závazek?;Na základě smlouvy nebo škody;Rozhodnutím školy;Volbou v referendu;Zákazem činnosti
Co je rodinné právo?;Součást občanského práva upravující vztahy v rodině;Právo školy na kázeň;Právo obce;Právo zaměstnavatele
Jaké jsou prameny rodinného práva?;Zákon o rodině (součást občanského zákoníku);Trestní zákon;Občanský zákoník bez části o rodině;Zákoník práce
Co je manželství?;Právní svazek mezi dvěma osobami;Školní spolupráce;Služební vztah;Politická dohoda
Jak vzniká manželství?;Sňatkem před matrikou nebo církví;Podpisem smlouvy s městem;Založením firmy;Získáním řidičského průkazu
Jak lze zrušit manželství?;Rozvodem nebo prohlášením za neplatné;Změnou příjmení;Odhlášením z trvalého pobytu;Vystěhováním se z bytu
Co je rodičovská odpovědnost?;Práva a povinnosti rodičů k dítěti;Odpovědnost obce;Povinnost školy;Právo policie
Co zahrnuje rodičovská odpovědnost?;Výchovu, výživu, zastupování dítěte;Výuku matematiky;Založení firmy;Volbu prezidenta
Co je náhradní rodinná péče?;Adopce, pěstounská péče, poručenství;Ústavní péče;Léčba v nemocnici;Vzdělávací kurz
Jaký je účel náhradní rodinné péče?;Zajistit dítěti péči, pokud nemůže být u rodičů;Získat slevu na daních;Vyučovat náboženství;Předávat věci do školy
Co je právní úkon?;Projev vůle s právními následky;Pohybový projev;Slovní hříčka;Vtip
Jaké jsou druhy právních jednání?;Jednostranná, dvoustranná, vícestranná;Tichá, hlasitá, otevřená;Písemná, čtená, kreslená;Úřední, neformální, běžná
Jak vzniká smlouva?;Dohodou dvou nebo více stran;Rozkazem;Rozhodnutím učitele;Hlasováním
Proč je důležité znát soukromé právo?;Pomáhá chránit naše práva v osobních vztazích;Usnadňuje řízení firmy;Zajišťuje státní správu;Zvyšuje tělesnou kondici
