Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou aktivní prvky v počítačových sítích?";"Zařízení, která zajišťují přenos, směrování a zpracování dat";"Zařízení pro fyzické propojení";"Zařízení pro bezdrátový přenos";"Zařízení pro uchovávání dat"
"Jaké funkce vykonávají aktivní prvky v síti?";"Zprostředkovávají komunikaci, optimalizují provoz, zajišťují zabezpečení a správu";"Zajišťují pouze fyzické propojení";"Připojují koncová zařízení k síti";"Omezují šířku pásma"
"Co je přepínač (Switch)?";"Zařízení propojující zařízení v LAN na základě MAC adres";"Zařízení pro směrování mezi sítěmi";"Zařízení pro připojení k internetu";"Zařízení pro zajištění bezpečnosti sítě"
"Jaké typy přepínačů existují?";"Neřízený switch a řízený switch";"Přepínač a směrovač";"Repeater a access point";"Směrovač a firewall"
"Co je směrovač (Router)?";"Zařízení, které směruje datové pakety mezi různými sítěmi";"Zařízení pro připojení k internetu";"Zařízení pro správu sítě";"Zařízení pro ochranu proti hrozbám"
"Jaké funkce vykonává směrovač?";"Přidělování IP adres, překlad adres, zabezpečení";"Připojení k internetu";"Optimalizace síťového provozu";"Přenos dat mezi zařízeními"
"Co je přístupový bod (Access Point)?";"Zařízení umožňující bezdrátový přístup k síti";"Zařízení pro směrování dat";"Zařízení pro zvýšení šířky pásma";"Zařízení pro zabezpečení sítě"
"Co je opakovač (Repeater)?";"Zařízení, které posiluje signál a prodlužuje dosah sítě";"Zařízení pro směrování dat";"Zařízení pro zvýšení rychlosti připojení";"Zařízení pro zabezpečení sítě"
"Jaká je hlavní funkce firewallu?";"Chrání síť před neoprávněným přístupem";"Připojuje zařízení k síti";"Optimalizuje síťový provoz";"Zvyšuje rychlost připojení"
"Co je potřeba pro konfiguraci přepínače?";"Přístup přes webové rozhraní nebo CLI, konfigurace VLAN, QoS, port security";"Nastavení pouze základní konfigurace";"Zajištění připojení k internetu";"Nastavení IP adresy pro přístup"
"Co je potřeba pro konfiguraci směrovače?";"Přístup přes webové rozhraní, nastavení WAN/LAN, NAT, DHCP, firewall, VPN";"Připojení pouze k internetu";"Nastavení pouze firewallu";"Nastavení Wi-Fi sítě"
"Co je součástí datového rozvaděče?";"Racková skříň, patch panely, switch, router, patch kabely, napájecí panel, pořadače kabelů";"Pouze přepínače a směrovače";"Patch panely a napájecí panely";"Pouze kabely a zařízení pro připojení k internetu"
"Jaký je první krok při sestavování datového rozvaděče?";"Plánování, zjištění počtu zařízení a výběr velikosti rackové skříně";"Instalace patch panelu";"Připojení routeru";"Montáž napájecího panelu"
"Jaký je hlavní úkol přepínače (Switch)?";"Propojuje zařízení v LAN na základě MAC adres";"Připojuje zařízení k internetu";"Směruje data mezi sítěmi";"Zabezpečuje síť"
"Jaký je rozdíl mezi řízeným a neřízeným přepínačem?";"Řízený switch nabízí správu, VLAN a QoS, neřízený switch je automatický";"Neřízený switch má více portů";"Řízený switch není kompatibilní s VLAN";"Neřízený switch podporuje vyšší rychlosti"
"Co je hlavní funkcí směrovače (Router)?";"Směruje datové pakety mezi různými sítěmi";"Propojuje zařízení v LAN";"Zabezpečuje připojení k internetu";"Ovládá šířku pásma sítě"
"Co dělá NAT (Network Address Translation) na směrovači?";"Překlad adres mezi interní a externí sítí";"Zabezpečuje síť proti útokům";"Zajišťuje připojení k internetu";"Distribuuje IP adresy v LAN"
"Jaký standard Wi-Fi používá přístupový bod?";"Standardy 802.11a/b/g/n/ac/ax";"Standardy 802.3 a 802.5";"Standardy 802.15.1 a 802.16";"Standardy 802.3af a 802.3at"
"Jaký je hlavní účel opakovače (Repeater)?";"Posiluje signál a prodlužuje dosah sítě";"Zvyšuje šířku pásma sítě";"Zabezpečuje síť před hrozbami";"Připojuje více zařízení k síti"
"Co je potřeba pro konfiguraci přístupového bodu (Access Point)?";"Nastavení SSID, šifrování, kanál a výkon signálu";"Pouze nastavení IP adresy";"Připojení k internetovému směrovači";"Pouze nastavení bezpečnostního protokolu"
"Jaký je hlavní úkol firewallu?";"Filtruje datový provoz a blokuje hrozby";"Zajišťuje rychlost připojení k síti";"Připojuje zařízení k internetu";"Propojuje různé sítě"
"Co je to VPN (Virtual Private Network)?";"Virtuální síť, která šifruje a zabezpečuje připojení";"Nástroj pro správu sítě";"Zařízení pro připojení k internetu";"Kabel pro přenos dat"
