Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy nastoupili Habsburkové na český trůn?;1526;1618;1620;1547
Kdo byl prvním Habsburkem na českém trůnu?;Ferdinand I.;Karel V.;Rudolf II.;Maxmilián II.
Jak se Habsburkové dostali na český trůn?;Sňatkem a volbou české šlechty;Válkou;Převratem;Dědictvím po Přemyslovcích
Kdy proběhlo stavovské povstání v Čechách?;1618;1526;1648;1580
Jaká událost zahájila stavovské povstání?;Defenestrace v roce 1618;Smrt Rudolfa II.;Bitva u Bílé hory;Zavedení nového náboženství
Kdo byl císařem během stavovského povstání?;Ferdinand II.;Ferdinand I.;Rudolf II.;Matyáš
Kdy proběhla bitva na Bílé hoře?;1620;1618;1648;1600
Kdo zvítězil v bitvě na Bílé hoře?;Habsburkové;Stavové;Protestanti;Francouzi
Jaký byl výsledek bitvy na Bílé hoře?;Porážka českých stavů a upevnění habsburské moci;Rozpad monarchie;Zrušení katolické církve;Přesun hlavního města
Kdo byl českým „zimním králem“?;Fridrich Falcký;Ferdinand I.;Karel V.;Jindřich z Lipé
Jaký náboženský směr podporovali čeští stavové?;Protestantismus;Katolicismus;Islam;Kalvinismus
Jaká byla hlavní náboženská změna po Bílé hoře?;Rekatolizace;Zavedení luterství;Zákaz katolictví;Zrušení církve
Které město se stalo centrem habsburské správy v českých zemích?;Vídeň;Praha;Brno;Olomouc
Jaká byla role jezuitů po roce 1620?;Obnova katolictví a vzdělávání;Zrušení univerzit;Podpora protestantů;Založení banky
Kdo byl posledním významným Habsburkem v období třicetileté války?;Ferdinand III.;Ferdinand II.;Leopold I.;Karel VI.
Jaký význam měl Obnovené zřízení zemské z roku 1627?;Potvrdilo absolutní moc Habsburků a katolicismus jako státní náboženství;Zavádělo republiku;Zrušilo šlechtu;Přeneslo moc na města
Jaké byly důsledky porážky stavovského povstání?;Ztráta samostatnosti českých zemí;Založení parlamentu;Zrušení daní;Náboženská svoboda
Kdo byli popravení vůdci stavovského povstání v roce 1621?;27 českých pánů;13 jezuitů;20 vojáků;12 kardinálů
Jak dlouho trvala třicetiletá válka?;1618–1648;1600–1650;1620–1655;1588–1640
Který mír ukončil třicetiletou válku?;Vestfálský mír;Augsburský mír;Vídeňský kongres;Pařížský mír
