Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký procesor je použit v řídící jednotce CM-530?";"32bitový ARM Cortex-M3";"8bitový AVR";"16bitový PIC";"64bitový ARM Cortex-A53"
"Jaké komunikační protokoly podporuje CM-530?";"TTL, Bluetooth, IR, USB";"I2C, SPI, UART";"Wi-Fi, Zigbee, LoRa";"Ethernet, RS232, CAN"
"Jaké napájení podporuje CM-530?";"Li-Po 7,4 V nebo přímé napájení";"12 V DC pouze";"5 V USB pouze";"3,3 V baterie"
"Jaké porty jsou k dispozici na CM-530?";"TTL sériový, digitální a analogové vstupy/výstupy";"Ethernet, HDMI, USB-C";"Wi-Fi, Zigbee, Bluetooth";"I2C, SPI, GPIO"
"Pro jaké aplikace se CM-530 nejčastěji používá?";"Řízení robotů jako humanoidní roboti a hexapody";"Automatizace domů";"Řízení klimatizace";"Monitorování teploty"
"Jaký typ komunikace využívá pohon Dynamixel AX-12A?";"TTL sériová komunikace";"RS232";"Wi-Fi";"Bluetooth"
"Jaký je maximální úhel natočení pohonu AX-12A v servomotorovém režimu?";"300°";"180°";"360°";"90°"
"Jaký protokol používá Dynamixel AX-12A pro ovládání?";"Dynamixel protokol";"Modbus";"CANopen";"MAVLink"
"Jaký je maximální točivý moment AX-12A?";"1,5 Nm";"0,5 Nm";"2,0 Nm";"3,0 Nm"
"Jaký typ senzoru využívá IR senzor?";"Infračervený";"Ultrazvukový";"Laserový";"Magnetický"
"Jaký je hlavní princip měření DMS senzoru?";"Měření času návratu odraženého signálu";"Detekce magnetického pole";"Optické snímání";"Analýza zvukových vln"
"Jaké jsou hlavní výhody IR senzorů?";"Rychlá odezva a jednoduchá implementace";"Vysoká přesnost a dlouhý dosah";"Nízká cena a vysoká odolnost";"Optická přesnost"
"Jaký je hlavní problém IR senzorů?";"Citlivost na povrchové vlastnosti objektů";"Vysoká spotřeba energie";"Velká váha";"Nízká životnost"
"Jaké bezdrátové technologie lze použít pro dálkové ovládání CM-530?";"IR a Bluetooth";"Wi-Fi a Zigbee";"LoRa a RFID";"Ethernet a NFC"
"Jaké jsou hlavní výhody Bluetooth připojení u CM-530?";"Nízká spotřeba a snadné spárování";"Vysoká rychlost přenosu a dlouhý dosah";"Odolnost proti rušení";"Šifrovaná komunikace"
"Co je Robo+ Manager?";"Nástroj pro správu a konfiguraci robotických komponent";"Grafický editor 3D modelů";"Nástroj pro simulaci robotů";"Firmware aktualizační software"
"Co je Robo+ Task?";"Vývojové prostředí pro programování robotů";"Sledovací software pro analýzu pohybu";"Nástroj pro testování motorů";"Editor kinematických modelů"
"Jaký typ instrukcí se používá v Robo+ Task pro pohon Dynamixel?";"Pohybové, senzorické, podmíněné, komunikační";"Grafické, hudební, optické, zvukové";"Matematické, logické, časové, monitorovací";"Prostorové, rychlostní, teplotní, tlakoměrné"
"Jaký režim umožňuje časovač 555 generovat jednorázový výstupní impuls?";"Monostabilní";"Astabilní";"Bistabilní";"Invertující"
"Jaký je hlavní účel CM-530 v robotických aplikacích?";"Řízení a koordinace robotických pohybů";"Záznam a přehrávání zvuku";"Analýza obrazových dat";"Měření napětí a proudu"
