Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3;Možnost 4
Co je regulační obvod?;Systém tvořený regulátorem a regulovanou soustavou;Uzavřený obvod bez akčního členu;Přímé řízení;Pouze regulační ventil;Mechanický spínač
Co je úkolem součtového členu?;Porovnává skutečnou a žádanou hodnotu regulované veličiny;Zesiluje signál;Generuje akční veličinu;Řídí napájení;Ověřuje výkon pohonu
Co znamená zpětná vazba v regulačním obvodu?;Vrací výstupní signál zpět k porovnání se žádanou hodnotou;Zesiluje akční veličinu;Používá se k programování regulátoru;Vytváří nové vstupní veličiny;Zajišťuje napájení pohonu
Který člen přeměňuje odchylku na akční zásah?;Regulátor;Snímač;Převodník;Měřicí člen;Relé
Jaký je rozdíl mezi otevřeným a uzavřeným regulačním obvodem?;Uzavřený obvod má zpětnou vazbu, otevřený ne;Otevřený je bez čidel;Uzavřený nepotřebuje řízení;Otevřený nemá měřicí člen;Rozdíl není žádný
Kdy je regulační obvod považován za stabilní?;Výstupní veličina se po změně vstupu ustálí;Nemění se výstupní veličina;Nepotřebuje vstupní veličinu;Výstup je trvale nulový;Je-li ručně ovládán
Co určuje jakost regulace?;Přesnost a rychlost reakce obvodu;Značka regulátoru;Druh použitého signálu;Typ pohonu;Množství vodičů
Co znamená přímé řízení?;Řízení tlačítkem v přímo spojeném obvodu;Přes stykač nebo relé;Pomocí PLC;Pomocí snímačů;Pomocí pneumatického ventilu
Jaká barva signalizuje poruchový stav?;Červená;Zelená;Modrá;Oranžová;Bílá
Co je programová regulace?;Regulovaná veličina se mění dle časového programu;Veličina je konstantní;Změna na základě venkovní teploty;Řízení poměrem veličin;Nepředvídatelná změna
K čemu slouží akční člen?;Provádí zásah do regulované soustavy;Změří vstupní signál;Upravuje napětí;Přenáší data;Zpracovává signály
Jaký je rozdíl mezi analogovým a binárním signálem?;Analogový se mění spojitě, binární má pouze dvě hodnoty;Binární signál je plynulý;Analogový pracuje pouze s 0 a 1;Binární je nepoužitelný v automatizaci;Analogový signál se nepoužívá
Co je to regulační odchylka?;Rozdíl mezi žádanou a skutečnou hodnotou veličiny;Výstupní výkon regulátoru;Proudový zisk čidla;Časová prodleva při regulaci;Změna směru otáček
K čemu slouží snímač v regulačním obvodu?;Měří a vyhodnocuje skutečnou hodnotu veličiny;Řídí akční člen;Změní analogový signál na digitální;Zajišťuje napájení soustavy;Zpětně upravuje signál
Jaký typ řízení se používá při řízení bez zpětné vazby?;Ovládání;Regulace;Kybernetické řízení;Adaptivní řízení;Automatizace
Co je funkce inteligentního senzoru?;Zpracovává a analyzuje signál v jednom modulu;Pouze měří signál;Zesiluje výstupní napětí;Přenáší proud na snímač;Detekuje barvy
Co je remanentní relé?;Relé, které drží polohu bez napájení díky feromagnetickému jádru;Relé s trvalým proudem;Časové relé bez časovače;Spínací modul s dvojitým výstupem;Relé s pamětí programu
Jaká je hlavní výhoda nepřímého řízení?;Možnost ovládat vysoké napětí malým proudem;Přímé spojení se zařízením;Používá se v domácnostech;Nezávislost na vzdálenosti;Zpětné řízení ventilů
"Jaká veličina je označena jako ""u"" v regulačním obvodu?";Akční veličina;Žádaná hodnota;Měřená hodnota;Regulovaná veličina;Odchylka
K čemu slouží časové relé se zpožděným odpadem?;Udržuje sepnutí kontaktu po určitou dobu po odpojení signálu;Sepne ihned po zapnutí;Resetuje systém;Přeruší obvod při přepětí;Generuje vysokofrekvenční signál
