Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co jsou metody v C#?";"Bloky kódu vykonávající specifickou akci";"Proměnné pro ukládání hodnot";"Grafické prvky pro vykreslování";"Soubory pro ukládání dat"
"Jaká je základní syntaxe metody v C#?";"<modifikátory přístupu> <návratový typ> <název>(<parametry>)";"<návratový typ> <modifikátory přístupu> <název>(<parametry>)";"<název>(<parametry>) <návratový typ>";"<modifikátory přístupu> <parametry> <název>()"
"Jak se nazývá metoda, která nevrací hodnotu?";"void";"return";"static";"class"
"Co znamená modifikátor 'public' u metody?";"Metoda je přístupná odkudkoli";"Metoda je dostupná pouze ve třídě";"Metoda je chráněná proti přístupu";"Metoda se volá automaticky"
"Co znamená modifikátor 'static' u metody?";"Metoda patří přímo třídě, ne instanci";"Metoda patří instanci objektu";"Metoda je vždy veřejná";"Metoda je dynamicky generovaná"
"Jaká metoda se volá automaticky při vytvoření instance třídy?";"Konstruktor";"Main";"Dispose";"Finalize"
"Jaký je návratový typ metody, která vrací celé číslo?";"int";"void";"string";"double"
"Co dělá klíčové slovo 'return' v metodě?";"Vrací hodnotu z metody";"Zastavuje běh programu";"Načítá data z konzole";"Vykresluje grafiku"
"Co je přetížení metody (overloading)?";"Více metod se stejným názvem, ale různými parametry";"Více metod v různých třídách";"Metody, které se vykonávají paralelně";"Metody s různými návratovými typy"
"Jaký je rozdíl mezi metodou 'Add(int, int)' a 'Add(double, double)'?";"Jsou to přetížené metody";"Jsou to metody s chybou";"Nelze je použít ve stejné třídě";"Musí být statické"
"Co je konstruktor v C#?";"Metoda pro inicializaci objektu";"Metoda pro uvolnění paměti";"Metoda pro vykreslení grafiky";"Metoda pro zobrazení textu"
"Jaký návratový typ má konstruktor?";"Nemá žádný návratový typ";"int";"void";"string"
"Jak musí být pojmenován konstruktor?";"Stejně jako třída";"Jako 'Main'";"Jako 'Init'";"Libovolně"
"Jaký klíčový výraz používáme pro přístup k vlastnostem objektu uvnitř třídy?";"this";"base";"super";"class"
"Jak voláme metodu třídy bez vytvoření instance?";"Pomocí názvu třídy a tečky";"Pomocí názvu objektu";"Pomocí klíčového slova 'new'";"Pomocí statického inicializátoru"
"Co je namespace v C#?";"Jmenný prostor pro organizaci tříd";"Proměnná pro ukládání hodnot";"Grafický prvek pro vykreslování";"Metoda pro výpis textu"
"Jak deklarujeme namespace v C#?";"namespace MyNamespace";"using MyNamespace";"class MyNamespace";"public MyNamespace"
"Co znamená klíčové slovo 'using' v C#?";"Importuje namespace";"Definuje metodu";"Vytváří instanci třídy";"Deklaruje proměnnou"
"Co poskytuje namespace System.Math?";"Matematické funkce a konstanty";"Kreslící funkce";"Správu souborů";"Vykreslování grafiky"
"Jaká metoda vrací absolutní hodnotu čísla?";"Math.Abs()";"Math.Round()";"Math.Pow()";"Math.Sqrt()"
"Jaká metoda vrací odmocninu čísla?";"Math.Sqrt()";"Math.Pow()";"Math.Abs()";"Math.Round()"
"Jaká metoda se používá pro zaokrouhlení čísla na nejbližší celé číslo?";"Math.Round()";"Math.Floor()";"Math.Ceiling()";"Math.Sqrt()"
"Jaká metoda vrací větší ze dvou hodnot?";"Math.Max()";"Math.Min()";"Math.Abs()";"Math.Round()"
"Co poskytuje namespace System.Console?";"Metody pro interakci s konzolí";"Správu grafických objektů";"Manipulaci s obrázky";"Práci s XML"
"Jaká metoda Console vypisuje text na stejný řádek?";"Console.Write()";"Console.WriteLine()";"Console.Read()";"Console.ReadLine()"
"Jaká metoda Console vypisuje text s novým řádkem?";"Console.WriteLine()";"Console.Write()";"Console.ReadLine()";"Console.Read()"
"Jak nastavíme barvu textu v konzoli?";"Console.ForegroundColor";"Console.BackgroundColor";"Console.Color";"Console.SetColor"
"Jaký návratový typ má metoda Console.ReadLine()?";"string";"int";"void";"bool"
"Jaký návratový typ má metoda Console.Read()?";"int";"char";"string";"bool"
"Jaké klíčové slovo se používá pro návrat hodnoty z metody?";"return";"yield";"break";"continue"
"Jaké klíčové slovo používáme pro deklaraci statické metody?";"static";"public";"private";"protected"
"Jak se nazývá metoda, která patří přímo třídě a ne instanci?";"Statická metoda";"Virtuální metoda";"Abstraktní metoda";"Dynamická metoda"
"Co se stane, pokud metoda nemá klíčové slovo 'static'?";"Musí být volána přes instanci objektu";"Musí být volána přes název třídy";"Nelze ji volat";"Bude považována za globální metodu"
