Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co znamená humanismus?;Důraz na člověka, vzdělání a rozum;Náboženský fanatismus;Systém otroctví;Válečný režim
Kdy začíná období renesance?;14. století;12. století;16. století;18. století
Kde vznikla renesance?;V Itálii;Ve Francii;V Anglii;V Německu
Jaký byl hlavní cíl protestantské reformace?;Reforma katolické církve;Obnovení pohanství;Zrušení vzdělání;Založení nové říše
Kdo byl hlavním představitelem reformace v Německu?;Martin Luther;Jan Kalvín;Jan Hus;Ignác z Loyoly
Který dokument zveřejnil Martin Luther v roce 1517?;95 tezí;Zlatou bulu;Dekret kutnohorský;Magna charta
Kde Luther vyvěsil své teze?;Wittenberg;Praha;Řím;Augsburg
Jaké nové církve vznikly v období reformace?;Luteránství, kalvinismus, anglikánství;Katolická církev;Ortodoxní církev;Unitářství
Kdo založil kalvinismus?;Jan Kalvín;Martin Luther;Zikmund;Jan Hus
Kdo stál za vznikem anglikánské církve?;Jindřich VIII.;Marie Terezie;Karel V.;Ferdinand II.
Jaká byla reakce katolické církve na reformaci?;Protireformace;Zrušení papežství;Sjednocení církví;Ukončení náboženství
Který řád vznikl během protireformace?;Tovaryšstvo Ježíšovo (jezuité);Benediktini;Augustiniáni;Dominikáni
Jak se nazývala první velká náboženská válka ve Francii?;Hugenotské války;Sedmiletá válka;Třicetiletá válka;Stoletá válka
Kdo byli hugenoti?;Francouzští protestanti;Španělští katolíci;Němečtí rytíři;Italští biskupové
Jaký význam měl Edikt nantský?;Zaručil náboženskou svobodu ve Francii;Zrušil protestantskou církev;Zakázal kázání;Vyhnal katolíky
Kdy byl vydán Edikt nantský?;1598;1517;1618;1685
Kdo vedl protireformaci v oblasti vzdělávání?;Jezuité;Kalvinisté;Anglikáni;Luteráni
Které umělecké směry se rozvíjely během renesance?;Malířství, architektura, literatura;Impresionismus;Kubismus;Baroko
Kdo napsal dílo „Utopie“?;Thomas More;Erasmus Rotterdamský;Machiavelli;Luther
Jaké nové myšlení přinesl humanismus?;Zaměření na lidskou důstojnost a poznání;Podřízení se církvi;Zákaz filozofie;Podpora feudálního řádu
