Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co umožňují bezdrátové technologie?";"Přenos dat bez použití kabelů";"Rychlejší přenos dat než kabelové sítě";"Přímou komunikaci mezi servery";"Přenos dat přes optická vlákna"
"Jaká technologie je nejrozšířenější pro domácí bezdrátové sítě?";"Wi-Fi";"Bluetooth";"Zigbee";"Infrared"
"Jaký standard Wi-Fi je nejnovější a nejrychlejší?";"802.11ax";"802.11ac";"802.11g";"802.11n"
"Jaký je hlavní účel technologie Bluetooth?";"Krátký dosah a nízká spotřeba energie";"Rychlé připojení na dlouhé vzdálenosti";"Přenos optických dat";"Vysokorychlostní datový přenos"
"Jaká technologie je vhodná pro mobilní přístup k internetu?";"LTE/5G";"Wi-Fi";"Bluetooth";"Zigbee"
"Jaká technologie je vhodná pro chytré domácnosti?";"Zigbee";"Wi-Fi";"Bluetooth";"Infrared"
"Jaká technologie se používá pro dálkové ovladače?";"Infrared";"Wi-Fi";"Bluetooth";"Zigbee"
"Jaký je hlavní účel WPA2?";"Zabezpečení Wi-Fi sítě";"Rychlé připojení";"Zálohování dat";"Šifrování kabelových sítí"
"Jaký bezpečnostní standard je považován za nejbezpečnější?";"WPA3";"WPA2";"WEP";"MAC Filtering"
"Jaká metoda zabezpečení Wi-Fi je zastaralá a nedoporučuje se?";"WEP";"WPA3";"WPA2";"MAC Filtering"
"Co je hlavní nevýhodou WEP šifrování?";"Snadno prolomitelné";"Nízká přenosová rychlost";"Vysoké náklady";"Kompatibilita s moderními zařízeními"
"Jaký je hlavní rozdíl mezi 2,4 GHz a 5 GHz Wi-Fi?";"2,4 GHz má delší dosah, 5 GHz vyšší rychlost";"5 GHz má delší dosah, 2,4 GHz vyšší rychlost";"Obě mají stejnou rychlost a dosah";"2,4 GHz podporuje více zařízení"
"Jaké jsou výhody mesh systému?";"Pokrytí velkých prostor a plynulé připojení";"Nižší náklady na instalaci";"Přímá komunikace s mobilními sítěmi";"Větší šířka pásma pro jednotlivá zařízení"
"Jaké připojení poskytuje mobilní hotspot?";"Mobilní internet pro více zařízení";"Přímé připojení k optické síti";"Bezdrátový přenos dat na krátkou vzdálenost";"Zabezpečení domácí sítě"
"Jaký nástroj je nezbytný pro konfiguraci Wi-Fi routeru?";"Webový prohlížeč";"FTP klient";"Multimetr";"Optický měřič"
"Jaké jsou výhody skrývání SSID?";"Snížení viditelnosti sítě pro veřejnost";"Zvýšení rychlosti přenosu dat";"Automatické připojení nových zařízení";"Vyšší šířka pásma"
"Jaký prvek zajišťuje bezdrátové připojení v domácí síti?";"Wi-Fi router";"Ethernet switch";"Optický konvertor";"Firewall"
"Jaký bezpečnostní prvek omezuje přístup na základě fyzické adresy zařízení?";"MAC Filtering";"WPA2";"Firewall";"SSID"
"Jaký prvek rozšiřuje dosah Wi-Fi signálu?";"Access Point";"Switch";"Router";"Modem"
"Jaký prvek umožňuje plynulé pokrytí velkých prostor bez přerušení signálu?";"Mesh systém";"Standardní router";"Bluetooth brána";"Ethernet přepínač"
"Co je SSID?";"Název bezdrátové sítě";"Bezpečnostní protokol";"IP adresa";"Mac adresa"
"Jaké šifrování je doporučeno pro domácí sítě?";"WPA3";"WEP";"AES";"DES"
"Jaký prvek umožňuje sdílení internetu z mobilního telefonu?";"Mobilní hotspot";"Access Point";"Switch";"Optický konvertor"
"Jaké pásmo Wi-Fi je vhodné pro připojení na větší vzdálenosti?";"2,4 GHz";"5 GHz";"60 GHz";"1 GHz"
"Jaký typ zabezpečení Wi-Fi poskytuje ochranu před útoky hrubou silou?";"WPA3";"WPA2";"WEP";"SSID"
"Jaký typ útoku může být proveden na nezabezpečenou Wi-Fi síť?";"Man-in-the-middle";"SQL injection";"Buffer overflow";"Cross-site scripting"
"Jaká je doporučená délka hesla pro zabezpečenou Wi-Fi síť?";"Minimálně 12 znaků";"4 znaky";"6 znaků";"8 znaků"
"Jaký kanál je vhodné použít pro 2,4 GHz pásmo, aby se předešlo rušení?";"1, 6 nebo 11";"2, 4 nebo 7";"3, 5 nebo 8";"9, 10 nebo 12"
"Jaký typ připojení nabízí Wi-Fi 6 (802.11ax)?";"Vyšší rychlost a kapacitu připojení";"Nižší spotřebu energie";"Přímé připojení k mobilním sítím";"Kompatibilitu s Bluetooth"
"Jaké šifrování poskytuje vyšší ochranu dat v síti?";"AES";"WEP";"DES";"MD5"
"Jaký bezpečnostní prvek zajišťuje blokování nežádoucího provozu?";"Firewall";"Wi-Fi booster";"Mesh extender";"Bluetooth gateway"
"Jaký typ zařízení je ideální pro rozšíření signálu v domácnosti?";"Repeater";"Modem";"Počítač";"Tiskárna"
"Co může způsobovat rušení signálu Wi-Fi v domácnosti?";"Mikrovlnná trouba";"Bluetooth klávesnice";"USB kabely";"Ethernet switche"
"Jaký typ bezdrátové technologie využívají chytré domácnosti?";"Zigbee";"Wi-Fi 6";"Bluetooth";"Ethernet"
