Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je informační etika?;Zásady správného a etického chování při práci s informacemi;Technika psaní dokumentů;Způsob šifrování dat;Programovací jazyk
Co je netiketa?;Pravidla slušného chování na internetu;Zákon o internetu;Název sítě;Heslo do Wi-Fi
Jak se nazývá zákon, který chrání autory jejich děl?;Autorský zákon;Obchodní zákoník;Trestní zákon;Zákon o veřejném zdraví
Co znamená pojem „plagiát“?;Převzetí cizího díla bez uvedení zdroje;Použití antiviru;Psaní vlastní práce;Zveřejnění výsledků
Jak se vyhnout plagiátorství?;Uváděním správných citací;Změnou písma;Použitím hesla;Změnou autora
Co je Creative Commons?;Systém otevřených licencí;Název firmy;Typ hardwaru;Antivirový program
Která z těchto licencí umožňuje volné šíření a úpravu díla?;CC BY;CC BY-NC-ND;Copyright;Free Trial
Co znamená zkratka CC BY-SA?;Umožňuje sdílení a úpravy s uvedením autora a stejnou licencí;Plně uzavřené právo;Zákaz kopírování;Licence pro firmy
Kdy mohu použít cizí fotografii ve své prezentaci?;Pokud mám svolení autora nebo je pod vhodnou licencí;Kdykoli bez omezení;Pokud je na internetu;Pokud změním její název
Jaká licence umožňuje komerční využití?;CC BY;CC BY-NC;CC BY-ND;CC BY-NC-SA
Co je copyright?;Výhradní právo autora na své dílo;Typ počítače;Programovací jazyk;Obrazový formát
Jak poznám, že mohu volně použít nějaký obsah?;Je označen licencí Creative Commons nebo je ve veřejné doméně;Je na Googlu;Má malý rozměr;Je ve formátu PDF
Kdo je nositelem autorského práva?;Autor díla;Ten, kdo dílo najde;Uživatel internetu;Škola
Co je veřejná doména?;Obsah, který není chráněn autorskými právy;Soukromé úložiště;Sociální síť;Veřejné Wi-Fi připojení
Jak se chovat eticky při sdílení obsahu?;Uvádět zdroje a respektovat licence;Vždy upravit obsah;Neoznačovat autora;Změnit datum publikace
K čemu slouží podmínka NC u CC licence?;Zakazuje komerční využití;Vyžaduje platbu;Umožňuje jakékoli šíření;Zaručuje ochranu heslem
Co je fair use?;Právo na omezené použití chráněného díla bez souhlasu autora;Bezplatné používání softwaru;Souhlas s přístupem na web;Povolení instalace programu
Co je pirátství na internetu?;Nelegální šíření nebo stahování chráněných děl;Používání sociálních sítí;Sdílení Wi-Fi;Změna IP adresy
Jaké jsou důsledky porušení autorského práva?;Pokuta, soudní spor;Změna hesla;Zrušení e-mailu;Ztráta dat
Jak ověřit legálnost softwaru?;Kontrolou licence a zdroje instalace;Podle barvy ikony;Pomocí antiviru;Změnou názvu souboru
