Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou osobní finance?;Hospodaření jednotlivce nebo domácnosti s penězi;Výdaje školy;Rozpočet města;Náklady firmy
Co je rozpočet domácnosti?;Plán příjmů a výdajů domácnosti;Plán školních hodin;Počet obyvatel;Daně a poplatky
Jaké jsou hlavní příjmy domácnosti?;Mzdy, sociální dávky, důchody;Výhry, dary, půjčky;Školní známky;Obědy ve škole
Jaké jsou hlavní výdaje domácnosti?;Bydlení, jídlo, energie, doprava;Škola, testy, sport;Výdaje firmy;Investice do státu
Co je právo spotřebitele?;Právo na ochranu při nákupu zboží a služeb;Právo na výuku;Právo řídit auto;Právo hlasovat
Kdy může spotřebitel reklamovat zboží?;Když je vadné nebo neodpovídá smlouvě;Když je levné;Když se mu nelíbí barva;Když ho koupil od kamaráda
Jak dlouhá je záruční doba v ČR?;2 roky;6 měsíců;1 rok;5 let
Co je úvěr?;Půjčka peněz, která se musí splatit;Dar od státu;Poplatek za služby;Sleva v obchodě
Jaké jsou druhy úvěrů?;Spotřebitelský, hypoteční, kontokorentní;Základní, školní, měsíční;Jízdné, nákupní, kulturní;Veřejný, tajný, cizí
Co je hypotéka?;Dlouhodobý úvěr na bydlení;Krátká půjčka na jídlo;Pojištění auta;Typ slevy
Co je spoření?;Odkládání části příjmů na pozdější dobu;Ztráta peněz;Dražba nemovitosti;Nákup dárků
Jaké jsou spořicí produkty?;Spořicí účet, stavební spoření, penzijní připojištění;Kreditní karta, hypotéka, leasing;Cenné papíry, akcie, dary;Šeky, pasy, pošta
Co je investování?;Ukládání peněz s cílem zisku;Ztráta času;Plánování dovolené;Nákup potravin
Jaké jsou investiční produkty?;Akcie, dluhopisy, podílové fondy;Dary, slevy, úvěry;Zboží, nemovitosti, knihy;Zaměstnání, daně, výplaty
Co je bankovní soustava?;Síť bankovních institucí v zemi;Systém jídel ve škole;Pošta;Sada učebnic
Jaké jsou typy bank?;Centrální a komerční;Školní a sportovní;Veřejné a tajné;Městské a vesnické
Co je úrok?;Odměna za půjčení peněz;Poplatek za oběd;Sleva v obchodě;Dárek pro klienta
Co je RPSN?;Roční procentní sazba nákladů – celkové náklady na úvěr;Roční příjem státu;Sleva na dani;Účtenka z nákupu
Jaké nástroje pomáhají řídit osobní finance?;Rozpočet, porovnávání cen, spoření;Kalendář, telefon, pas;Školní rozvrh;Televizní program
Proč je důležité znát osobní finance?;Pomáhá to správně hospodařit a vyhnout se dluhům;Zvyšuje zábavu;Zajišťuje slevy;Zlepšuje známky
