Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou ploštěnci?;Bezobratlí živočichové s plochým tělem;Obratlovci s kostrou;Měkkýši s ulitou;Paraziti s článkovaným tělem
Jak se nazývá zástupce ploštěnců, který je častým parazitem člověka?;Motolice jaterní;Škrkavka dětská;Hlemýžď zahradní;Pijavka lékařská
Jaká je typická tělesná stavba hlístů?;Válcovité tělo bez článkování;Ploché tělo s výběžky;Tělo s ulitou;Článkované tělo
Který z těchto organismů je hlíst?;Škrkavka dětská;Pijavka lékařská;Chobotnice;Měsíčnice
Kde parazituje škrkavka dětská?;V tenkém střevě člověka;Na kůži;V krvi;Na listech rostlin
Jaký je význam ploštěnců pro člověka?;Někteří jsou zdravotně významní parazité;Pomáhají při fotosyntéze;Podílejí se na rozkladu dřeva;Tvoří plankton
Co je charakteristické pro tělo měkkýšů?;Měkké tělo často kryté schránkou;Tělo s kostrou;Pevná kutikula;Žádné vnitřní orgány
Jaký orgán je typický pro měkkýše?;Plášť;Křídla;Kutikula;Žaberní vak
Který měkkýš má dobře vyvinutou nervovou soustavu?;Chobotnice;Šnek;Slávka;Krtek
Jak se nazývá obranný inkoust chobotnice?;Sépie;Měkkýn;Plášťovina;Kutikulin
Co je radula?;Struhadlovitý jazyk měkkýšů;Dýchací orgán hmyzu;Vyměšovací žláza ryb;Smyslový orgán ptáků
Jak dýchají vodní měkkýši?;Žábrami;Plícemi;Kůží;Trávícím vakem
Který měkkýš je významný pro potravinářství?;Slávka jedlá;Motolice jaterní;Pijavka lékařská;Škrkavka dětská
Jaká je funkce ulity u plžů?;Ochrana těla;Zajištění pohybu;Dýchání;Vnímání zvuku
Který druh je zástupcem mlžů?;Slávka;Hlemýžď;Škrkavka;Chobotnice
Který měkkýš má nohu přeměněnou v chapadla?;Chobotnice;Slávka;Pijavka;Motolice
Jaké tělní soustavy jsou dobře vyvinuté u měkkýšů?;Trávicí, vylučovací a nervová;Oběhová a kosterní;Vnitřní kostra a svaly;Plynový měchýř a čelist
Jaký je význam některých hlístů pro člověka?;Mohou způsobovat onemocnění;Podporují imunitu;Zlepšují trávení;Jsou součástí fotosyntézy
Jak se ploštěnci dělí z hlediska životního stylu?;Volně žijící a parazitičtí;Vodní a suchozemští;Jedno a dvoukomoroví;Letci a běžci
Jak se jmenuje měkkýš s dvěma lasturami?;Mlž;Plž;Hlíst;Ploštěnec
