Otázka;Správná odpověď;Možnost 1;Možnost 2;Možnost 3
Co je základním účelem příkazu 'if' v C#?;Vykonat blok kódu při splnění podmínky;Přerušit běh programu;Opakovat kód v cyklu;Vypsat chybovou hlášku
Kdy se používá příkaz 'else' v C#?;Pokud podmínka 'if' není splněna;Pro přerušení cyklu;Pro volání funkce;Pro načtení dat
Jaký příkaz umožňuje více větvení podmínek?;else if;switch;do-while;foreach
Co znamená 'switch' v C#?;Vícenásobné větvení na základě hodnoty;Iterace přes kolekci;Synchronizace vláken;Ladění programu
Co je účelem příkazu 'break' v 'switch'?;Ukončí vykonávání aktuální větve;Opakuje aktuální větev;Způsobí nekonečný cyklus;Přeskočí celou metodu
K čemu slouží složené závorky v C#?;Seskupují více příkazů do jednoho bloku;Oddělují proměnné;Vytvářejí nový projekt;Vykonávají jednorázovou akci
Co způsobí příkaz 'goto' v C#?;Skok na označený štítek v kódu;Spuštění debuggeru;Ukončení aplikace;Opakování cyklu
Jaký je hlavní rozdíl mezi 'if' a 'switch'?;'if' je pro logické výrazy, 'switch' pro hodnoty proměnné;'if' vždy vrátí hodnotu;'switch' nemůže obsahovat textové hodnoty;'switch' se používá pouze s čísly
Co je 'pattern matching' v C#?;Kontrola typu a hodnoty výrazu;Optimalizace paměti;Překlad kódu do strojového jazyka;Vykreslení grafického rozhraní
Co znamená 'else if'?;Testuje další podmínku, pokud předchozí 'if' nebyl splněn;Ukončí aktuální větev;Opakuje předchozí cyklus;Vytvoří novou proměnnou
Jaký je účel 'default' v příkazu 'switch'?;Zachytit všechny nespecifikované případy;Vykonat kód při splnění podmínky;Vytvořit instanci objektu;Spustit ladění programu
Co způsobí příkaz 'continue' v cyklu?;Přeskočí aktuální iteraci a pokračuje další;Ukončí celý cyklus;Vrátí hodnotu;Vyvolá výjimku
Co znamená vnořený 'if'?;Podmínka uvnitř jiné podmínky;Opakování 'if' cyklu;Přepnutí do jiného bloku;Zastavení programu
Jaká je správná syntaxe pro 'if' v C#?;if (podmínka) { příkazy };if { příkazy } (podmínka);if (podmínka) { příkazy };if { podmínka } (příkazy)
Jaký operátor v C# představuje logické AND?;&&;||;==;!=
Co se stane, pokud v 'switch' chybí 'break'?;Vykonají se všechny následující větve;Cyklus se zastaví;Program havaruje;Vypíše se chybová hláška
Kdy se používá 'return' v metodě?;Pro ukončení metody a vrácení hodnoty;Pro opakování cyklu;Pro přerušení ladění;Pro spuštění externího programu
Co znamená 'if (x && y)'?;Podmínka je splněna, pokud jsou obě hodnoty pravdivé;Podmínka je splněna, pokud je alespoň jedna hodnota pravdivá;Podmínka je splněna, pokud jsou obě hodnoty nepravdivé;Podmínka je splněna, pokud jedna hodnota je pravdivá
Co znamená 'if (x || y)'?;Podmínka je splněna, pokud alespoň jedna hodnota je pravdivá;Podmínka je splněna, pokud jsou obě hodnoty pravdivé;Podmínka je splněna, pokud jsou obě hodnoty nepravdivé;Podmínka je splněna pouze při hodnotě false
Co znamená '!' v podmínce?;Negace logické hodnoty;Porovnání dvou čísel;Dělení dvou proměnných;Násobení hodnoty
