Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl prvním českým králem z rodu Lucemburků?;Jan Lucemburský;Karel IV.;Zikmund Lucemburský;Václav IV.
Kdy nastoupil Jan Lucemburský na český trůn?;1310;1306;1346;1355
Kdo byl otcem Karla IV.?;Jan Lucemburský;Zikmund Lucemburský;Přemysl Otakar II.;Rudolf Habsburský
Kde studoval Karel IV. v mládí?;Ve Francii (Paříž);V Římě;V Anglii;V Praze
Který významný dokument vydal Karel IV. jako císař?;Zlatá bula Karla IV.;Zlatá bula sicilská;Magna charta libertatum;Edikt milánský
Kdy byla založena Univerzita Karlova?;1348;1310;1355;1378
Jaký byl hlavní přínos Karla IV. pro Prahu?;Rozvoj města a založení Nového Města;Založení Karlových Varů;Výstavba železnic;Zrušení církevních škol
Který most byl za Karla IV. postaven v Praze?;Karlův most;Juditin most;Most Legií;Palackého most
Jaký titul získal Karel IV. kromě českého krále?;Císař Svaté říše římské;Papežský legát;Arcibiskup;Král polský
Kdo byl nástupcem Karla IV. na českém trůnu?;Václav IV.;Zikmund Lucemburský;Jan Jindřich;Albrecht Habsburský
S jakými problémy se potýkal Václav IV.?;Neústupnost šlechty a husitské hnutí;Útoky Mongolů;Zánik říše;Rozpad měst
Který Lucemburk byl českým králem a zároveň významným účastníkem křížových výprav?;Zikmund Lucemburský;Jan Lucemburský;Karel IV.;Václav IV.
Kdy proběhla bitva u Kresčaku, kde padl Jan Lucemburský?;1346;1310;1355;1378
Jaký vztah měl Jan Lucemburský k českým zemím?;Často pobýval mimo Čechy a zanedbával vládu;Byl aktivní v rozvoji země;Byl negramotný;Byl vězněn šlechtou
Která města byla za Lucemburků významně rozvíjena?;Praha, Kutná Hora, Brno;Olomouc, Znojmo, Ostrava;Plzeň, Most, Ústí;Tábor, Jihlava, Zlín
Který Lucemburk měl podíl na vypuknutí husitského hnutí?;Zikmund Lucemburský;Karel IV.;Jan Lucemburský;Jan Jindřich
Jaký byl význam Zlaté buly Karla IV.?;Upravovala volbu římského krále;Zrušila církevní daně;Zavedla nevolnictví;Upravila vztahy se šlechtou
Kdo z Lucemburků bojoval o uherský trůn a nakonec ho získal?;Zikmund Lucemburský;Václav IV.;Jan Lucemburský;Karel IV.
Jaké kulturní dědictví zanechali Lucemburkové?;Rozvoj gotické architektury, literatury a vzdělanosti;Barokní umění;Moderní technologie;Římské právo
Kdo byl posledním Lucemburkem na českém trůnu?;Zikmund Lucemburský;Václav IV.;Karel IV.;Jan Lucemburský
