Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy bylo Československo osvobozeno Rudou armádou?;1945;1944;1946;1948
Kdo byl prezidentem Československa po druhé světové válce?;Edvard Beneš;Klement Gottwald;Ludvík Svoboda;Tomáš G. Masaryk
Kdy proběhl komunistický převrat v Československu?;Únor 1948;Říjen 1947;Leden 1946;Květen 1949
Kdo se stal prezidentem po únorovém převratu 1948?;Klement Gottwald;Edvard Beneš;Antonín Zápotocký;Ludvík Svoboda
Jaký typ vlády byl zaveden po roce 1948?;Totalitní komunistický režim;Parlamentní demokracie;Prezidentský systém;Konstituční monarchie
Jak se nazývala politická strana, která převzala moc v roce 1948?;Komunistická strana Československa (KSČ);Česká strana národně sociální;Sociální demokracie;Agrární strana
Jaký byl osud Edvarda Beneše po roce 1948?;Odstoupil z funkce prezidenta;Zůstal prezidentem;Byl uvězněn;Emigroval do USA
Kdy zemřel Klement Gottwald?;1953;1948;1960;1958
Co znamená pojem „pětiletka“?;Hospodářský plán na 5 let;Volební období;Pět dnů svátků;Typ zemědělské daně
Kdo byl vůdcem komunistické strany v období 60. let?;Antonín Novotný;Gustáv Husák;Klement Gottwald;Alexander Dubček
Co znamenal pojem Pražské jaro?;Období politického uvolnění v roce 1968;Jarní volby;Zahájení války;Zákaz cestování
Kdo vedl reformy během Pražského jara?;Alexander Dubček;Ludvík Svoboda;Antonín Zápotocký;Václav Havel
Kdy proběhla invaze vojsk Varšavské smlouvy do ČSSR?;21. srpna 1968;1. května 1967;28. října 1969;15. března 1970
Jaký byl hlavní důvod invaze v roce 1968?;Zastavení reforem a obava ze ztráty vlivu SSSR;Pomoc proti invazi Západu;Obnova monarchie;Reforma armády
Co znamená normalizace?;Obnova komunistického režimu po roce 1968;Demokratické volby;Liberalizace;Zrušení armády
Kdo byl hlavní představitel normalizace?;Gustáv Husák;Alexander Dubček;Václav Havel;Klement Gottwald
Co byla Charta 77?;Občanská iniciativa za dodržování lidských práv;Komunistický manifest;Volební program;Zahraniční politika
Kdo byl mezi signatáři Charty 77?;Václav Havel;Gustáv Husák;Ludvík Svoboda;Milan Kundera
Jaké byly důsledky podpisu Charty 77 pro signatáře?;Perzekuce, sledování, ztráta zaměstnání;Ocenění;Politické výhody;Získání majetku
Jak se nazývá období od roku 1948 do roku 1989 v ČSSR?;Komunistická totalita;Třetí republika;Občanská válka;První republika
