Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo objevil Ameriku v roce 1492?;Kryštof Kolumbus;Vasco da Gama;Ferdinand Magellan;James Cook
Kdo jako první obeplul Afriku a doplul do Indie?;Vasco da Gama;Bartolomeo Diaz;Kolumbus;Cabot
Kdo prokázal, že Země je kulatá, obeplutím světa?;Ferdinand Magellan;Amerigo Vespucci;Kolumbus;Cabral
Jaký byl hlavní motiv zámořských objevů?;Obchodní cesty a zlato;Náboženské důvody;Touha po poznání;Vojenské výboje
Který mořeplavec dosáhl jižního cípu Afriky?;Bartolomeo Diaz;Magellan;Vasco da Gama;Cabral
Po kom je pojmenována Amerika?;Amerigo Vespucci;Kolumbus;Cabot;Pizarro
Který španělský dobyvatel dobyl říši Aztéků?;Hernán Cortés;Francisco Pizarro;Magellan;Balboa
Kdo dobyl říši Inků v Jižní Americe?;Francisco Pizarro;Cortés;Vespucci;Cabral
Jaké byly důsledky zámořských objevů pro Evropu?;Příliv bohatství a rozvoj obchodu;Ztráta kolonií;Nárůst chudoby;Zákaz obchodu
Jaký vliv měly objevy na původní civilizace?;Zánik a podrobení;Rozvoj a ochrana;Sloučení kultur;Zvýšený export
Jaké byly hlavní mimoevropské civilizace v Americe?;Aztékové, Mayové, Inkové;Řekové, Egypťané, Římané;Bantuské kmeny;Slované
Jak se nazývá systém, v němž kolonie slouží jako zdroj surovin?;Kolonialismus;Feudalismus;Socialismus;Absolutismus
Který stát byl hlavním konkurentem Španělska v koloniálních výbojích?;Portugalsko;Itálie;Německo;Rusko
Jak se jmenuje mezinárodní dohoda o rozdělení nových území mezi Španělsko a Portugalsko?;Tordesillaská smlouva;Augsburský mír;Verdunská smlouva;Basilejská dohoda
Jaký dopad měly objevy na africký kontinent?;Rozvoj obchodu s otroky;Konec válek;Zánik měst;Odchod Evropanů
Který kontinent byl nazýván 'Nový svět'?;Amerika;Asie;Afrika;Austrálie
Který portugalský mořeplavec objevil Brazílii?;Pedro Álvares Cabral;Vasco da Gama;Diaz;Cortés
Jak se nazývá obchodní systém mezi Evropou, Afrikou a Amerikou?;Trojúhelníkový obchod;Transsibiřská stezka;Euroasijská aliance;Silk Road
Co přinesli Evropané do Ameriky?;Kovy, nemoci, domácí zvířata;Větší populaci;Zákony o rovnosti;Demokracii
Jaký význam měl objev Ameriky pro další vývoj světa?;Rozšíření evropské moci a začátek globalizace;Izolaci civilizací;Zánik Evropy;Vznik jediné světové říše
