Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je rostlinné pletivo?;Soubor buněk se stejnou funkcí a stavbou;Jednotlivé buňky;Tělo rostliny;Typ fotosyntézy
Kde vznikají pletiva?;Z dělivých buněk – meristémů;Ve dřeni stonku;Ve vakuole;Z chloroplastů
Jaké jsou typy pletiv podle funkce?;Dělivá, krycí, vodivá, zpevňovací, základní;Svalová, výživná, vylučovací;Tlaková, tepelná, regulační;Pouze krycí a základní
Co tvoří krycí pletiva?;Pokožka, průduchy, trichomy;Xylém a floém;Dřeň a kůra;Kořenové vlásky a jádro
K čemu slouží vodivá pletiva?;Převádí vodu a živiny;Tvoří ochrannou vrstvu;Vytváří listy;Rozmnožují rostliny
Z čeho se skládá cévní svazek?;Xylém a floém;Epidermis a kůra;Pokožka a trichomy;Parenchym a kolenchym
Co je funkcí xylému?;Přivádí vodu a minerály z kořenů;Přenáší organické látky;Ochrana pletiv;Zpevnění stonku
Co je funkcí floému?;Přenáší produkty fotosyntézy;Přenáší vodu;Zpevňuje rostlinu;Zajišťuje růst
Co je parenchym?;Základní pletivo s fotosyntetickou funkcí;Vodivé pletivo;Ochranná vrstva;Dřevnatá část stonku
Jaké jsou vegetativní orgány rostlin?;Kořen, stonek, list;Květ, semeno, plod;List a květ;Kořen a květ
K čemu slouží kořen?;Přijímá vodu, upevňuje rostlinu;Vytváří semena;Zajišťuje fotosyntézu;Tvoří květy
Jaká je funkce stonku?;Spojuje kořen s listy, vede látky;Ukládá škrob;Absorbuje světlo;Zajišťuje reprodukci
K čemu slouží list?;Fotosyntéza, výměna plynů, transpirace;Pohyb rostliny;Tvorba semen;Růst stonku
Co je transpirace?;Výpar vody z listů;Vedení vody;Pohyb živin;Rozklad chlorofylu
Kde probíhá fotosyntéza v listu?;V chloroplastech parenchymu;V kutikule;Ve vodivém svazku;V trichomech
Kde se nacházejí průduchy?;Na spodní straně listu;Uvnitř kořene;V květu;Na okraji stonku
K čemu slouží průduchy?;Výměna plynů a transpirace;Tvorba semen;Ochrana před škůdci;Růst květu
Jaký je rozdíl mezi jednoduchým a složeným listem?;Jednoduchý má jednu čepel, složený více lístků;Složený je silnější;Jednoduchý má větší plochu;Složený list není zelený
Jak se dělí kořeny?;Hlavní a postranní;Primární a sekundární;Pevné a měkké;Horní a spodní
Jaké typy listové žilnatiny existují?;Souběžná, zpeřená, dlanitá;Kruhová, spirálová, radiální;Síťovitá, článkovaná, hladká;Horní, dolní, laterální
