Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou semenné rostliny?;Rostliny rozmnožující se semeny;Rostliny bez rozmnožovacích orgánů;Nižší rostliny bez cévních svazků;Rostliny s výtrusy
Jaké dvě hlavní skupiny semenných rostlin existují?;Nahosemenné a krytosemenné;Kapraďorosty a mechorosty;Řasy a houby;Jednoděložné a dvouděložné
Jaké znaky mají nahosemenné rostliny?;Semena nejsou krytá plodem;Mají květy s okvětím;Tvoří plody;Jsou vždy jednoděložné
Která z následujících rostlin je nahosemenná?;Borovice;Slunečnice;Tulipán;Fazole
Jaké znaky mají krytosemenné rostliny?;Mají květy a plody;Nemají cévní svazky;Rozmnožují se výtrusy;Tvoří šišky
Co je typické pro jednoděložné rostliny?;Jedno dělohové listové embryo;Dřevnatý stonek;Síťovitá žilnatina;Dva dělohové listy
Který znak je typický pro dvouděložné rostliny?;Síťovitá žilnatina listů;Paralelní žilnatina;Přítomnost šišek;Jeden dělohový list
Jaká čeled' patří mezi jednoděložné?;Liliovité;Růžovité;Bobovité;Miříkovité
Jaká čeled' patří mezi dvouděložné?;Růžovité;Liliovité;Lipnicovité;Orchidejovité
Která rostlina je dvouděložná?;Fazol;Cibule;Pšenice;Tulipán
Která rostlina je jednoděložná?;Kukuřice;Růže;Fazol;Jabloň
Který orgán se přeměňuje v plod?;Pestík (semeník);Tyčinka;List;Kořen
K čemu slouží semeno?;K rozmnožování a uchování zárodku;K fotosyntéze;K ukotvení rostliny;K absorpci vody
Co je klíčení semene?;Proces, kdy semeno začne růst;Zasychání semene;Odpočinek semene;Přenos pylu
Jak se nazývá obal semene?;Osemení;Plodolist;Okvětí;Čnělka
Jaký význam mají semenné rostliny pro člověka?;Potraviny, léčiva, stavební materiál;Výroba plastů;Znečištění ovzduší;Těžba kovů
Které rostliny patří mezi hospodářsky významné jednoděložné?;Pšenice, kukuřice, rýže;Slunečnice, řepka, jabloň;Borovice, smrk, jedle;Kapradiny, mechy, lišejníky
Který z následujících znaků platí pro nahosemenné?;Semena jsou volně na šupinách;Tvoří pravé plody;Mají okvětí;Mají podzemní hlízy
Jaký typ květu mají krytosemenné rostliny?;S tyčinkami a pestíkem;Bez pohlavních orgánů;Pouze se samčími šiškami;S výtrusnicemi
Co je opylení?;Přenos pylu na bliznu;Růst semene;Rozklad pletiva;Vytváření listů
