Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je typografie?;Umění a technika úpravy textu;Způsob zálohování;Programování ve Wordu;Styl psaní e-mailů
Co znamená zkratka ČSN?;Česká státní norma;Centrální síť národů;Česká strojní norma;Časová synchronizace nastavení
Jaká je správná velikost písma pro běžný text v dokumentu?;12 pt;8 pt;16 pt;20 pt
Jaké písmo je doporučeno pro psaní oficiálních dokumentů?;Times New Roman;Comic Sans;Courier New;Impact
Co je nadpis?;Zvýrazněný text označující začátek sekce;Text pod obrázkem;Text v patičce;Text v závorce
K čemu slouží odsazení odstavce?;Zvýrazňuje začátek nového odstavce;Zmenšuje okraje stránky;Zvětšuje písmo;Změní typ písma
Jaké jsou základní části dokumentu?;Úvod, hlavní část, závěr;Titulní strana, logo, tabulky;Odkazy, obrázky, nadpisy;Seznam obrázků, příloha, barvy
Co je patička dokumentu?;Spodní část stránky;Horní okraj;Levý sloupec;Název kapitoly
Co je záhlaví dokumentu?;Horní část stránky, kde bývá např. název dokumentu;Spodní část dokumentu;Obsah;Seznam literatury
Jaký je správný způsob citování podle normy?;Uvedení autora, názvu, vydavatele a roku vydání;Pouze jméno autora;Jen název a rok;Pouze odkaz na web
K čemu slouží obsah dokumentu?;Umožňuje rychlou orientaci v textu;Zkracuje dokument;Změní písmo;Vytváří zálohu
Jak vytvořit automatický obsah ve Wordu?;Pomocí stylů nadpisů;Změnou fontu;Vložením tabulky;Použitím barev
Jaký je rozdíl mezi odstavcem a řádkem?;Odstavec může obsahovat více řádků;Řádek je delší;Řádek obsahuje nadpis;Odstavec je vždy kurzívou
Co znamená zarovnání textu do bloku?;Text je zarovnán vlevo i vpravo;Text je pouze vlevo;Text je vystředěn;Text je kurzívou
Jaká funkce slouží k úpravě vzhledu textu?;Styly;Vkládání obrázku;Změna motivu;Tabulky
Co je interpunkce?;Pravidla pro psaní čárek, teček a dalších znamének;Typografické znaky;Formát stránky;Způsob dělení slov
Jaký je účel poznámky pod čarou?;Doplňující informace k textu;Odkaz na web;Změna fontu;Barevné zvýraznění
Co by měl obsahovat titulní list dokumentu?;Název, autor, datum, instituce;Pouze název;Stránkování;Obrázky a loga
Co je řádkování?;Vzdálenost mezi řádky textu;Vzdálenost mezi slovy;Velikost písma;Typ písma
Kdy se používá citace?;Při převzetí cizího textu nebo myšlenky;Při psaní vlastní úvahy;Při opravách dokumentu;Při ukládání souboru
