Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo je považován za otce počítače?;Charles Babbage;Steve Jobs;Alan Turing;Bill Gates
Jak se jmenoval první mechanický kalkulátor?;Pascaline;Apple I;Z3;Colossus
Kdo vytvořil první program?;Ada Lovelace;Bill Gates;Tim Berners-Lee;Grace Hopper
Co byla ENIAC?;První plně elektronický počítač;První notebook;Herní konzole;Síťový router
Který počítač byl první komerčně dostupný?;UNIVAC I;Macintosh;Altair 8800;Z1
Kdy vznikl internet (ARPANET)?;V roce 1969;V roce 1984;V roce 1995;V roce 1951
Co byl Colossus?;Počítač pro lámání šifer během 2. světové války;První tiskárna;Databázový systém;První notebook
Jaký přínos měl Alan Turing?;Položil základy informatiky a teorie algoritmů;Vynalezl internet;Sestavil první myš;Napsal Windows
Kdy byl vyroben první osobní počítač (PC)?;V roce 1975;V roce 1945;V roce 1990;V roce 1963
Jak se jmenoval první osobní počítač?;Altair 8800;IBM 360;ZX Spectrum;Apple II
Kdo založil firmu Microsoft?;Bill Gates a Paul Allen;Steve Jobs a Steve Wozniak;Larry Page a Sergey Brin;Elon Musk a Jeff Bezos
Co byla BASIC?;Jednoduchý programovací jazyk;Typ pevného disku;Síťové připojení;Název počítače
Kdy byl představen první Macintosh?;V roce 1984;V roce 1975;V roce 1995;V roce 2001
Jaký byl první grafický operační systém?;Xerox Alto;Windows 95;Linux;Mac OS X
Kdy vznikl první webový prohlížeč?;V roce 1990;V roce 1980;V roce 1995;V roce 2005
Kdo vytvořil World Wide Web?;Tim Berners-Lee;Mark Zuckerberg;Alan Turing;Bill Gates
Jak se jmenoval první přenosný počítač?;Osborne 1;ThinkPad;MacBook;Commodore 64
Kdy byl spuštěn první e-mail?;V roce 1971;V roce 1990;V roce 1985;V roce 2000
Jaký počítač se považuje za základ moderní architektury počítačů?;Von Neumannova architektura;Turingův stroj;Apple Lisa;MS-DOS
Jak se jmenoval počítač s ikonickým designem představený firmou Apple v roce 1998?;iMac;Power Mac;Mac Pro;Newton
