Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je náboženství?;Soubor víry, rituálů a morálních zásad;Politický systém;Vědecká teorie;Ekonomický plán
Jaké jsou znaky náboženství?;Víra v božstvo, posvátné texty, rituály, morální pravidla;Ekonomické cíle, daně, zisky;Právní normy, soudy, zákony;Zdravotní péče, léčba, pojištění
Jaké jsou typy náboženství?;Monoteismus, polyteismus, panteismus;Demokracie, monarchie, diktatura;Evropské, asijské, africké;Západní, střední, východní
Co je sekta?;Uzavřená náboženská skupina s odlišnými názory;Obchodní společnost;Školní třída;Politická strana
Co je hinduismus?;Starověké náboženství Indie s vírou v reinkarnaci;Evropské náboženství s jedním Bohem;Africký kult;Moderní filozofie
Co je karma?;Zákon příčiny a následku v životě;Název náboženské písně;Politické rozhodnutí;Typ cvičení
Co je reinkarnace?;Znovuzrození duše v jiném těle;Změna jména;Přestup do jiné školy;Nová identita
Co je budhismus?;Náboženství založené Buddhou, cílem je osvícení;Kult ohně;Evropské křesťanství;Antické učení
Jaký je cíl budhismu?;Dosáhnout nirvány – stavu bez utrpení;Získat bohatství;Získat moc;Vyhrát volby
Co je taoismus?;Čínská filosofie a náboženství zdůrazňující přirozený řád věcí;Západní nauka o penězích;Středověké křesťanství;Africký kult předků
Co je jin a jang?;Symbol rovnováhy protikladů;Symbol peněz;Značka auta;Typ kaligrafie
Co je konfucianismus?;Etická a filozofická nauka z Číny zdůrazňující řád a rodinu;Náboženství o nebi;Evropská ústava;Zákon o armádě
Jaký je hlavní cíl konfucianismu?;Udržet harmonii a správné vztahy ve společnosti;Získat svobodu slova;Ovládnout politiku;Vést válku
Jaký je rozdíl mezi náboženstvím a filozofií?;Náboženství je založeno na víře, filozofie na rozumu;Filozofie má víc bohů;Náboženství se neučí;Filozofie je starší
Jaký vliv mají náboženství na kulturu?;Ovlivňují hodnoty, tradice a umění;Zvyšují daně;Změní počasí;Zajistí volby
Co je posvátný text?;Písmo považované za božsky inspirované;Zákoník práce;Vědecký článek;Školní řád
Jaké znáš posvátné texty?;Bible, Korán, Védy;Ústava, zákoník, rozsudek;Noviny, romány, reklamy;Recepty, básně, písně
Jaký je význam náboženských rituálů?;Upevňují víru a společenství věřících;Zajišťují prodej zboží;Přinášejí volební vítězství;Zvyšují teplotu
Proč je důležité rozumět náboženství?;Pomáhá porozumět různým kulturám a hodnotám;Zajišťuje práci;Ovlivňuje volby;Získává slevy
Jaké otázky řeší náboženství?;Smysl života, smrt, dobro a zlo;Výši daní, ceny zboží;Barvu oblečení;Výběr školy
