Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je komunikace v síti?";"Přenos dat mezi zařízeními pomocí protokolů";"Vytváření grafických rozhraní";"Optimalizace datových toků";"Zabezpečení přístupových práv"
"Kolik vrstev má ISO/OSI model?";"7";"4";"5";"6"
"Kolik vrstev má TCP/IP model?";"4";"7";"5";"6"
"Jaký model je teoretický a používá se jako reference?";"ISO/OSI";"TCP/IP";"Ethernet";"Wi-Fi"
"Jaký model je prakticky používán v reálných sítích?";"TCP/IP";"ISO/OSI";"Bluetooth";"GSM"
"Jaká je aplikační vrstva v TCP/IP modelu?";"Aplikační";"Prezentační";"Transportní";"Fyzická"
"Jaký protokol patří do aplikační vrstvy?";"HTTP";"TCP";"IP";"Ethernet"
"Jaký protokol patří do transportní vrstvy?";"TCP";"IP";"HTTP";"FTP"
"Jaký protokol patří do internetové vrstvy?";"IP";"TCP";"SMTP";"HTTP"
"Jaký protokol patří do síťového přístupu v TCP/IP?";"Ethernet";"TCP";"IP";"DNS"
"Co je úkolem transportní vrstvy v ISO/OSI modelu?";"Spolehlivý přenos dat";"Směrování paketů";"Přenos bitů po médiu";"Řízení přístupu"
"Jaký protokol poskytuje spolehlivý přenos dat?";"TCP";"UDP";"IP";"HTTP"
"Jaký protokol poskytuje rychlý, ale nespolehlivý přenos dat?";"UDP";"TCP";"IP";"FTP"
"Co je úkolem aplikační vrstvy v ISO/OSI modelu?";"Interakce s uživatelem";"Přenos bitů";"Řízení přístupu";"Šifrování dat"
"Jaký protokol se používá pro přenos webových stránek?";"HTTP";"SMTP";"FTP";"DNS"
"Jaký protokol se používá pro přenos souborů?";"FTP";"HTTP";"IP";"ARP"
"Jaký protokol se používá pro odesílání e-mailů?";"SMTP";"FTP";"TCP";"UDP"
"Jaký protokol překládá doménová jména na IP adresy?";"DNS";"HTTP";"ARP";"RIP"
"Jaký protokol zajišťuje bezdrátovou komunikaci?";"Wi-Fi";"Ethernet";"Bluetooth";"SMTP"
"Jaký protokol slouží pro kabelové sítě?";"Ethernet";"Wi-Fi";"Bluetooth";"ARP"
"Jaká vrstva ISO/OSI modelu řeší směrování paketů?";"Síťová";"Linková";"Transportní";"Prezentační"
"Jaký protokol používá IPv4 a IPv6 adresy?";"IP";"TCP";"DNS";"FTP"
"Jaký protokol používá SSL/TLS pro zabezpečený přenos dat?";"HTTPS";"HTTP";"FTP";"SMTP"
"Jaký protokol slouží pro rychlé přenosy v reálném čase?";"UDP";"TCP";"FTP";"DNS"
"Jaký je hlavní rozdíl mezi TCP a UDP?";"TCP je spolehlivý, UDP je rychlý";"UDP je spolehlivý, TCP je rychlý";"TCP je bezdrátový, UDP je kabelový";"UDP je textový, TCP je binární"
"Jaký protokol se používá pro odesílání webových stránek pomocí šifrovaného spojení?";"HTTPS";"HTTP";"FTP";"SMTP"
"Jaký je rozdíl mezi HTTP a HTTPS?";"HTTPS je zabezpečené pomocí SSL/TLS";"HTTP je rychlejší než HTTPS";"HTTPS používá IPv6";"HTTP šifruje data"
"Jaký příkaz ve Windows zobrazí IP adresu?";"ipconfig";"ping";"tracert";"netstat"
"Jaký příkaz v Linuxu zobrazí IP adresu?";"ifconfig";"ipconfig";"ping";"route"
"Co znamená NAT?";"Překlad síťových adres";"Přenos dat po kabelu";"Zabezpečení datových toků";"Šifrování hesel"
"Jaký nástroj slouží pro sledování cesty paketů?";"tracert";"ping";"netstat";"ipconfig"
"Jaký příkaz otestuje dostupnost zařízení v síti?";"ping";"tracert";"nslookup";"ftp"
"Jaký protokol se používá pro přístup k síťovým sdíleným složkám ve Windows?";"SMB";"FTP";"HTTP";"SSH"
"Jaký protokol se používá pro bezpečný přístup k serveru přes příkazový řádek?";"SSH";"FTP";"HTTP";"SMTP"
"Jaká služba překládá doménová jména na IP adresy?";"DNS";"ARP";"NTP";"ICMP"
"Jaký protokol se používá pro synchronizaci času mezi zařízeními?";"NTP";"FTP";"DNS";"SMTP"
"Jaký nástroj lze použít pro sdílení souborů mezi počítači s Windows?";"Samba";"WinSCP";"NFS";"Telnet"
"Jaký příkaz ve Windows zobrazí aktivní síťová připojení?";"netstat";"ping";"ipconfig";"tracert"
"Jaký protokol slouží pro přenos elektronické pošty?";"SMTP";"FTP";"HTTP";"DNS"
