Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je psychohygiena?;Soubor opatření pro udržení duševního zdraví;Léčba tělesných nemocí;Postup při hygieně těla;Technika spánku
Proč je důležitá psychohygiena?;Pomáhá předcházet stresu a duševním poruchám;Zvyšuje fyzickou kondici;Umožňuje rychlejší dýchání;Zlepšuje chuť k jídlu
Které aktivity patří mezi doporučené v rámci psychohygieny?;Odpočinek, pohyb, spánek, relaxace;Hlučné prostředí, přejídání;Dlouhá práce bez přestávky;Ignorování emocí
Jaké jsou nejčastější náročné životní situace?;Smrt blízkého, rozvod, nemoc, ztráta zaměstnání;Úspěch, narozeniny, oslava;Nákup, výlet, dovolená;Přestěhování bez změn
Jak může stres ovlivnit zdraví?;Může vést k psychickým i fyzickým potížím;Zlepšuje výdrž;Zvyšuje hladinu železa;Způsobuje růst vlasů
Jaké jsou příznaky deprese?;Smutek, ztráta zájmu, únava, beznaděj;Překypující radost;Zvýšená chuť k jídlu;Zvýšená aktivita a euforie
Co je úzkost?;Nepříjemný pocit napětí a strachu;Dlouhodobá radost;Ztráta paměti;Zvýšená výdrž
Co je schizofrenie?;Závažná duševní nemoc s poruchou myšlení a vnímání;Zánět dutin;Porucha trávení;Zlomenina
Kdo diagnostikuje duševní poruchy?;Psychiatr;Chirurg;Zubař;Fyzioterapeut
Jaký je rozdíl mezi psychologem a psychiatrem?;Psychiatr může předepisovat léky, psycholog ne;Psycholog léčí tělo;Psychiatr vyučuje ve škole;Psycholog je právník
K čemu slouží psychoterapie?;Léčba duševních potíží prostřednictvím rozhovorů;Chirurgický zákrok;Léčba antibiotiky;Trénink paměti pomocí videí
Co je prevence v oblasti duševního zdraví?;Zamezení vzniku duševních problémů;Vývoj nových léků;Léčba horečky;Výuka cizích jazyků
Jaký vliv má spánek na duševní zdraví?;Pomáhá regeneraci psychiky;Způsobuje nespavost;Zvyšuje agresivitu;Způsobuje stres
Jak lze zvládat stres?;Relaxací, plánováním, zdravým životním stylem;Ignorací problémů;Nadměrným pitím kávy;Vyhýbáním se spánku
Co znamená burnout (syndrom vyhoření)?;Stav fyzického a psychického vyčerpání;Oslava úspěchu;Pocit radosti;Zvýšený výkon
Která emoce může mít negativní vliv na duševní zdraví, pokud je dlouhodobě potlačována?;Hněv;Radost;Soucit;Zvědavost
Jak pomáhá sport duševnímu zdraví?;Zlepšuje náladu a snižuje stres;Způsobuje zranění;Zhoršuje soustředění;Zvyšuje úzkost
Jaká je role přátelství v duševním zdraví?;Poskytuje oporu a snižuje osamělost;Způsobuje konflikty;Zvyšuje tlak;Snižuje imunitu
Co znamená sebepřijetí?;Přijetí sebe sama se všemi klady i zápory;Změna identity;Ignorování svých slabin;Touha být jiný
Kdy je vhodné vyhledat odbornou pomoc?;Při dlouhodobých psychických potížích nebo krizových stavech;Při radostné události;Při mírném nachlazení;Při nedostatku peněz
