Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou prokaryotní organismy?;Jednobuněčné organismy bez jaderné membrány;Organismy s pravým jádrem;Mnohobuněčné organismy;Organismy s mitochondriemi
Které z následujících organismů jsou prokaryota?;Bakterie a sinice;Houby a prvoci;Řasy a kvasinky;Viry a plísně
Jaká je hlavní struktura bakteriální buňky?;Buněčná stěna, cytoplazma, ribozomy, nukleoid;Jádro, mitochondrie, endoplazmatické retikulum;Cytoplazma, jádro, chloroplasty;Plazmid, vakuola, bičík, Golgiho aparát
K čemu slouží plazmidy v bakteriální buňce?;Nesou dodatečné genetické informace;Zajišťují fotosyntézu;Tvoří buněčnou stěnu;Zodpovídají za pohyb
Jak se bakterie rozmnožují?;Nepohlavním dělením;Pohlavním rozmnožováním;Pučením;Splynutím gamet
Jaký význam mají bakterie pro člověka?;Pomáhají v trávení, produkují vitamíny, využití v průmyslu;Způsobují pouze nemoci;Zajišťují dýchání;Podílejí se na růstu svalů
K čemu se využívají bakterie v biotechnologiích?;K výrobě antibiotik, alkoholu a mléčných výrobků;K těžbě ropy;K výrobě plastů;K zajištění kyslíku
Jaké je postavení virů v biologickém systému?;Nejsou považovány za živé organismy;Jsou jednoduché buňky;Jsou typem bakterií;Jsou druh eukaryot
Z čeho se skládá virová částice?;Z nukleové kyseliny a bílkovinného obalu;Z buněčné stěny a cytoplazmy;Z jádra a ribozomů;Z chloroplastů a bičíků
Jak viry infikují buňky?;Vniknutím do buňky a využitím jejího aparátu k množení;Přímým splynutím s jádrem;Rozpuštěním cytoplazmy;Pomocí mitochondrií
Jaký je zdravotnický význam virů?;Mohou způsobovat různá onemocnění;Způsobují růst svalů;Zajišťují imunitu;Napomáhají trávení
Jaký je hospodářský význam virů?;Mohou ohrozit úrodu a chovy zvířat;Zvyšují výnosy;Zajišťují růst rostlin;Produkují hnojiva
Jak se nazývá virové množení?;Replikace;Fotosyntéza;Respirace;Fermentace
Která struktura je typická pouze pro viry?;Kapsid;Ribozom;Cytoplazma;Plazmid
Jaký je rozdíl mezi DNA a RNA viry?;Liší se typem nukleové kyseliny;Jeden má buněčné jádro;Jeden má chloroplasty;Jeden je prokaryotní
Jaký význam mají bakterie v přírodě?;Podílejí se na koloběhu látek;Způsobují pouze škody;Produkují kyslík;Slouží jako parazité
Co je to antibiotikum?;Látka zabíjející nebo brzdící růst bakterií;Virová bílkovina;Léčivo proti virům;Hormon
Proč nelze léčit virová onemocnění antibiotiky?;Protože antibiotika působí jen na bakterie;Protože viry jsou odolné vůči kyselinám;Protože viry se neumí rozmnožovat;Protože viry mají silné stěny
Co je to bakteriofág?;Virus napadající bakterie;Bakterie živící se viry;Antibiotikum;Mikroskopická houba
K čemu slouží biotechnologie s využitím geneticky upravených bakterií?;K produkci inzulínu a růstového hormonu;K výrobě plastů;K rozkladu ropy;K výrobě kovů
