Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký je hlavní účel napájecího zdroje?";"Přeměna vstupního napětí na požadované výstupní napětí";"Zvyšování teploty procesoru";"Snížení výkonu grafické karty";"Zálohování dat"
"Jaký je rozdíl mezi lineárním a spínaným zdrojem?";"Lineární zdroj má nižší účinnost a větší rozměry, spínaný zdroj má vyšší účinnost a menší velikost";"Lineární zdroj je vždy dražší";"Spínaný zdroj nepotřebuje napájení";"Lineární zdroj generuje vysoké frekvence"
"Jaký je hlavní princip spínaného zdroje?";"Vysokofrekvenční spínání napětí";"Stálý průtok proudu";"Pomalé spínání pro minimalizaci rušení";"Vyrovnávání teplot"
"Jaký je účel filtru ve spínaném zdroji?";"Redukce zvlnění napětí";"Zvýšení napětí";"Snížení frekvence";"Přenos zvukového signálu"
"K čemu slouží usměrňovač v napájecím zdroji?";"Převádí střídavé napětí na stejnosměrné";"Zvyšuje napětí na vyšší úroveň";"Mění stejnosměrné napětí na střídavé";"Stabilizuje teplotu procesoru"
"Jaký je hlavní účel stabilizátoru napětí?";"Udržovat konstantní výstupní napětí";"Zvyšovat napětí na vyšší hodnotu";"Snižovat spotřebu energie";"Ochrana proti přepětí"
"Jaký je rozdíl mezi lineárním a spínaným stabilizátorem?";"Lineární stabilizátor má nižší účinnost, spínaný má vyšší účinnost";"Spínaný stabilizátor je vždy menší";"Lineární stabilizátor nepotřebuje chlazení";"Spínaný stabilizátor je levnější"
"Jaký je účel PWM (pulzně šířková modulace) ve spínaném zdroji?";"Efektivní přeměna napětí pomocí rychlého spínání";"Snížení šumu";"Zvýšení teploty procesoru";"Zlepšení ventilace"
"Jaký je účel filtru typu RC?";"Redukovat zvlnění napětí u nízkých proudů";"Zvýšit frekvenci signálu";"Ochlazovat procesor";"Zesilovat audio signál"
"Co je hlavní nevýhoda lineárního stabilizátoru?";"Nízká účinnost a vysoké tepelné ztráty";"Vysoká spotřeba energie";"Složitá konstrukce";"Nedostatek napěťové stability"
"Jaký je hlavní rozdíl mezi buck a boost stabilizátorem?";"Buck stabilizátor snižuje napětí, boost zvyšuje napětí";"Boost stabilizátor snižuje teplotu";"Buck stabilizátor zvyšuje napětí";"Boost stabilizátor má nižší účinnost"
"Co znamená Graetzovo zapojení?";"Mostní usměrňovač se čtyřmi diodami";"Transformátor pro zvýšení napětí";"Stabilizátor s vysokou účinností";"Spínaný zdroj s řízeným výstupem"
"Jaký přístroj se používá k měření zvlnění napětí?";"Osciloskop";"Multimetr";"Ampérmetr";"Ohmmetr"
"Jak se vypočítá procentuální zvlnění napětí?";"((Max - Min) / Střední hodnota) × 100";"(Střední hodnota / Max) × 100";"((Max + Min) / Střední hodnota) × 100";"(Max / Min) × 100"
"Co je účelem spínaného stabilizátoru typu Buck-Boost?";"Umožňuje jak zvýšit, tak snížit napětí";"Pouze zvyšuje napětí";"Pouze snižuje napětí";"Zvyšuje frekvenci signálu"
"Jaký typ filtru se používá pro vyšší proudy?";"LC filtr";"RC filtr";"Pi filtr";"Kombinovaný filtr"
"Co je hlavní funkcí výstupního stabilizátoru?";"Zajistit konstantní napětí bez ohledu na změny zátěže";"Zvýšit frekvenci spínání";"Omezit průtok proudu";"Generovat vysoké napětí"
"Jaká je hlavní výhoda spínaného stabilizátoru oproti lineárnímu?";"Vyšší účinnost a menší tepelné ztráty";"Nižší cena";"Menší elektromagnetické rušení";"Snadnější konstrukce"
