Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou houby (Fungi)?;Samostatná říše eukaryotických organismů;Bakterie;Nižší rostliny;Živočichové
Jak se houby rozmnožují?;Pohlavně i nepohlavně (výtrusy);Dělením jako bakterie;Pučením jako savci;Vajíčky a spermiemi
Jak se živí houby?;Heterotrofně – rozkládají organické látky;Fotosyntézou;Difúzí minerálů;Žijí z dusíku
Která skupina hub tvoří lišejníky?;Vřeckovýtrusné houby (v symbióze s řasou);Stopkovýtrusné houby;Plísně;Basidiomycety
Jaký je význam lišejníků?;Ukazatelé čistoty ovzduší;Zdroj kyslíku;Vytvářejí plody;Produkují vitamín C
K čemu slouží mykorhiza?;Symbióza mezi houbou a kořeny rostlin;Rozklad kamenů;Parazitování na živočiších;Pohlavní rozmnožování hub
Jaký význam mají houby v přírodě?;Rozklad organických látek, symbióza, parazitismus;Tvoří plody a semena;Způsobují fotosyntézu;Přeměňují světlo
Která houba je léčivá?;Penicillium notatum;Amanita muscaria;Claviceps purpurea;Boletus edulis
Jaké typy hub známe podle rozmnožovacích struktur?;Vřeckovýtrusné, stopkovýtrusné, houby nedokonalé;Květnaté, listnaté, výtrusné;Kořenné, dřevnaté, šupinaté;Stromové, keříčkovité, plodové
Jaký je hospodářský význam hub?;Výroba antibiotik, potravin, kvašení;Znečištění vody;Těžba ropy;Růst stromů
