Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je první Newtonův zákon?;Zákon setrvačnosti;Zákon síly;Zákon akce a reakce;Zákon gravitace
Co říká zákon setrvačnosti?;Těleso zůstává v klidu nebo rovnoměrném pohybu, dokud není nuceno změnit svůj stav;Každé těleso má hmotnost;Těleso se vždy pohybuje zrychleně;Těleso se pohybuje po kružnici
Co je druhý Newtonův zákon?;F = m · a;E = m · c²;p = m · v;v = s / t
Jaká je jednotka síly?;Newton (N);Joule (J);Pascal (Pa);Watt (W)
Co je třetí Newtonův zákon?;Zákon akce a reakce;Zákon setrvačnosti;Zákon zachování energie;Zákon zrychlení
Kdy působí setrvačná síla?;V neinerciální soustavě;V inerciální soustavě;V klidovém stavu;Při rovnoměrném pohybu
Jak se projevuje setrvačná odstředivá síla?;Těleso se snaží opustit kruhovou dráhu;Těleso zrychluje;Těleso se zastaví;Těleso změní objem
Co vyjadřuje hmotnost tělesa?;Míru setrvačnosti;Rychlost;Objem;Plochu
Jaký je vztah pro tíhovou sílu?;Fg = m · g;F = m · a;p = m · v;W = F · s
Co je smykové tření?;Odpor proti pohybu tělesa po povrchu;Odpor v kapalinách;Tlak mezi tělesy;Síla nutná k deformaci
Na čem závisí smykové tření?;Na normálové síle a drsnosti povrchu;Na objemu tělesa;Na rychlosti pohybu;Na teplotě
Co je valivý odpor?;Odpor proti valení tělesa;Tření mezi kapalinami;Tlak mezi tělesy;Změna objemu při pohybu
Jak se značí síla?;F;S;P;W
Kdy je těleso v rovnováze sil?;Když výslednice sil je nulová;Když působí pouze jedna síla;Když se pohybuje zrychleně;Když se otáčí
Jaký je vztah pro pohyb tělesa pod působením konstantní síly?;F = m · a;s = v · t;p = m · v;E = m · c²
Co způsobuje zrychlení tělesa?;Působení síly;Změna objemu;Změna tlaku;Přítomnost kyslíku
Co je výslednice sil?;Součet všech sil působících na těleso;Největší síla;Směr síly;Střed tělesa
Co je těžiště tělesa?;Bod, kde působí tíhová síla;Nejlehčí část tělesa;Povrch tělesa;Okraj tělesa
Kdy se uplatní zákon akce a reakce?;Při každém vzájemném působení těles;Při volném pádu;Při setrvačnosti;Při zrychlení
Jak lze snížit smykové tření?;Mazáním povrchů;Zvětšením povrchu;Zvýšením hmotnosti;Zmenšením síly
