Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl Jiří z Poděbrad?;Český král a významný diplomat;Císař Svaté říše římské;Uherský král;Rakouský vévoda
Jaké bylo náboženství Jiřího z Poděbrad?;Utrakvismus;Katolicismus;Kalvinismus;Luteránství
Kdy vládl Jiří z Poděbrad?;1458–1471;1419–1434;1471–1516;1400–1420
Který evropský plán navrhoval Jiří z Poděbrad?;Vytvoření mírové unie křesťanských panovníků;Dobytí Balkánu;Založení univerzity;Zavedení kalendáře
Jak skončila vláda Jiřího z Poděbrad?;Zemřel přirozenou smrtí;Byl sesazen;Padl v bitvě;Odešel do exilu
Kdo byl zvolen českým králem po Jiřím z Poděbrad?;Vladislav Jagellonský;Zikmund Lucemburský;Ferdinand Habsburský;Matyáš Korvín
Jaké byly vztahy Jiřího z Poděbrad s papežem?;Napjaté, Jiří byl exkomunikován;Velmi dobré;Papež ho podporoval;Žádné
Který rod vládl po Jiřím z Poděbrad?;Jagellonci;Habsburkové;Lucemburkové;Přemyslovci
Kde sídlil český král Vladislav Jagellonský?;Pražský hrad;Karlštejn;Kutná Hora;Brno
Jaká významná stavba vznikla za vlády Vladislava Jagellonského?;Vladislavský sál na Pražském hradě;Karlův most;Katedrála sv. Víta;Obecní dům
Které dvě země byly spojeny osobou Vladislava Jagellonského?;Čechy a Uhry;Čechy a Polsko;Uhry a Rakousko;Čechy a Francie
Jaké náboženství vyznávali Jagellonci?;Katolické;Luteránské;Utrakvistické;Kalvínské
Co bylo hlavním problémem vlády Jagellonců?;Slabá centrální moc a rostoucí vliv šlechty;Zákaz univerzit;Církevní rozkol;Růst měst
Kdy skončila vláda Jagellonců v českých zemích?;1526;1490;1618;1306
Kdo nastoupil na český trůn po vymření Jagellonců?;Ferdinand I. Habsburský;Albrecht z Valdštejna;Rudolf II.;Zikmund
Jaká byla pozice husitství za vlády Jagellonců?;Postupné oslabení a potlačování;Zákonná převaha;Zákaz a perzekuce;Oficiální státní náboženství
Který uherský král byl otcem Vladislava Jagellonského?;Kazimír IV.;Zikmund;Albert Habsburský;Jiří z Poděbrad
Jaké byly důsledky vlády Jagellonců pro český stát?;Oslabení moci krále, posílení šlechty;Sjednocení Evropy;Pád Habsburků;Zrušení církve
Jak se jmenoval syn Vladislava Jagellonského?;Ludvík Jagellonský;Ferdinand I.;Jan Zikmund;Vladislav II.
Kde zahynul Ludvík Jagellonský?;V bitvě u Moháče;U Lipan;V bitvě u Domažlic;Na Moravském poli
