Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je bit?;Základní jednotka informace;Typ paměti;Značka disku;Typ algoritmu
Kolik bitů má 1 bajt?;8;16;4;10
Co je bajt?;Jednotka informace tvořená 8 bity;Operační systém;Typ kabelu;Značka klávesnice
Jaká je zkratka pro megabajt?;MB;Mb;Mg;Mbit
Co je kilobajt?;1000 bajtů;1024 bajtů;512 bajtů;2048 bajtů
Co je kibibajt?;1024 bajtů;1000 bajtů;512 bajtů;2048 bajtů
Která z následujících jednotek je největší?;Terabajt;Gigabajt;Kilobajt;Megabajt
Co je hardware?;Fyzická část počítače;Operační systém;Program;Typ internetu
Co je software?;Programové vybavení počítače;Tiskárna;Monitor;Paměť RAM
Která z následujících položek je hardware?;Pevný disk;Textový editor;Operační systém;Webový prohlížeč
Která z následujících položek je software?;Antivirový program;Myš;Procesor;Monitor
Co znamená zkratka ICT?;Informační a komunikační technologie;Internetový komunikační terminál;Interní časovač;Informační čipová technologie
K čemu slouží operační paměť (RAM)?;K dočasnému uchování dat a programů při běhu systému;K trvalému uložení dat;K tisku;K připojení k síti
K čemu slouží pevný disk (HDD)?;K trvalému uložení dat;K dočasnému uchování dat;Ke komunikaci se sítí;K zobrazení obrazu
Jaký je rozdíl mezi RAM a ROM?;RAM je zapisovatelná, ROM pouze čitelná;ROM je větší;RAM je v klávesnici;Neexistuje rozdíl
Co je vstupní zařízení?;Zařízení, které přivádí data do počítače;Zařízení, které zobrazuje výstup;Paměťové zařízení;Počítačová síť
Které z následujících je výstupní zařízení?;Monitor;Klávesnice;Myš;Skener
Která možnost je příkladem vstupního zařízení?;Myš;Monitor;Reproduktor;Tiskárna
K čemu slouží základní deska?;Spojuje a propojuje komponenty počítače;Zobrazuje data;Přenáší internet;Ukládá dokumenty
Co znamená zkratka CPU?;Centrální procesorová jednotka;Centrum periferních uživatelů;Časově přímá úloha;Celková paměť
Co je hlavní funkcí CPU?;Zpracování instrukcí a řízení chodu počítače;Zobrazení obrazu;Ukládání dat;Napájení systému
