Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký mikrokontrolér používá Arduino Uno?";"ATmega328P";"ATmega2560";"ARM Cortex-M3";"PIC16F877"
"Jaká je hlavní výhoda Arduina?";"Jednoduché programování a modularita";"Vysoká cena a komplikované použití";"Nevyužitelný v praxi";"Není kompatibilní s žádnými senzory"
"Jaké napětí je potřeba pro napájení Arduina Uno?";"5 V nebo 7–12 V";"3,3 V";"24 V";"230 V"
"Které vývojové prostředí se používá pro programování Arduina?";"Arduino IDE";"Eclipse";"Visual Studio";"Code::Blocks"
"Jaké typy pohonů lze řídit pomocí Arduina?";"Servomotory, stejnosměrné motory, krokové motory";"Elektrostatické motory";"Plynové turbíny";"Parní motory"
"Jaký typ senzoru se používá pro měření teploty?";"DHT11";"HC-SR04";"TSL2561";"PIR"
"Jaký senzor se používá pro měření vzdálenosti?";"HC-SR04";"DHT11";"TSL2561";"PIR"
"Jaký typ pohonu je vhodný pro přesné řízení polohy?";"Servomotor";"Stejnosměrný motor";"Ultrazvukový motor";"Hydraulický motor"
"Co je to firmware v Arduinu?";"Software uložený na mikrokontroléru";"Grafické rozhraní pro programování";"Sada hardwarových komponent";"Aplikace pro mobilní zařízení"
"Jaký mikrokontrolér používá Arduino Mega 2560?";"ATmega2560";"ATmega328P";"ARM Cortex-M3";"ESP8266"
"K čemu slouží bootloader na Arduino desce?";"Umožňuje nahrávat programy přes USB";"Umožňuje bezdrátové ovládání";"Slouží k ukládání dat";"Připojuje Arduino k internetu"
"Jakou frekvenci má procesor Arduino Uno?";"16 MHz";"8 MHz";"32 MHz";"100 MHz"
"Co umožňuje nepájivé pole při práci s Arduinem?";"Rychlé a flexibilní propojení bez pájení";"Stabilní připojení k internetu";"Měření teploty a vlhkosti";"Rychlé stahování knihoven"
"Jaký typ motoru se používá pro přesné krokování v CNC strojích?";"Krokový motor";"Servomotor";"Stejnosměrný motor";"Třífázový synchronní motor"
"Jaký výsledek vrací funkce dht.readTemperature() v příkladu projektu?";"Teplotu ve stupních Celsia";"Vlhkost vzduchu v procentech";"Náklon v úhlech";"Intenzitu světla"
"Jaká je výhoda použití reléového modulu v Arduino projektu?";"Izolace vysokonapěťového obvodu od Arduina";"Měření teploty a vlhkosti";"Zvýšení signálu Wi-Fi";"Rychlé bezdrátové ovládání"
"Co je hlavním účelem použití Arduino Nano?";"Kompaktní provedení pro vestavěné aplikace";"Vysoký výkon pro náročné výpočty";"Bezdrátová komunikace";"Použití v mobilních telefonech"
"Jaká knihovna se používá pro čtení teploty z DHT11?";"DHT.h";"Servo.h";"Wire.h";"Stepper.h"
"Jaká je typická aplikace Arduina v oblasti IoT?";"Sběr a přenos dat přes Wi-Fi nebo Bluetooth";"Záznam a přehrávání zvuku";"Grafická vizualizace";"Editace obrázků"
"Jaké jsou hlavní výhody Arduino Due?";"Vyšší výkon díky ARM Cortex-M3";"Nízká cena a malá velikost";"Vestavěný Wi-Fi modul";"Podpora Pythonu"
