Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je DNA?;Deoxyribonukleová kyselina nesoucí genetickou informaci;Bílkovina zodpovědná za imunitu;Hormon;Cukr v krvi
Jaké báze tvoří DNA?;Adenin, thymin, cytosin, guanin;Uracil, adenin, cytosin, guanin;Glycin, valin, alanin, leucin;Tymin, uracil, cytosin, aspartát
K čemu slouží RNA?;Přenáší informaci z DNA a pomáhá při tvorbě bílkovin;Ukládá energii;Tvoří buněčnou stěnu;Zajišťuje fotosyntézu
Co je replikace DNA?;Proces kopírování DNA před buněčným dělením;Tvorba RNA;Rozklad bílkovin;Mutace genu
Kde probíhá replikace DNA?;V jádře buňky;V cytoplazmě;V mitochondrii;Na ribozomu
Co je genetický kód?;Převod pořadí bází v DNA na pořadí aminokyselin v bílkovině;Soubor chromozomů;Počet ribozomů;Struktura DNA
Kolik bází tvoří jeden kodon?;Tři;Dvě;Jedna;Čtyři
Co je exprese genu?;Proces, kdy se informace z genu projeví tvorbou proteinu;Výměna chromozomů;Zánik buňky;Změna pohlaví
Jak se liší exprese genu u prokaryot a eukaryot?;Eukaryota mají exony a introny, prokaryota nemají introny;Prokaryota mají jádro;Eukaryota nemají DNA;Prokaryota nemají ribozomy
Jaký je význam molekulární genetiky?;Porozumění dědičnosti, vývoj léčiv, genetické inženýrství;Těžba nerostů;Zvýšení síly svalů;Snížení hladiny cukru
