Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je politická ideologie?;Soubor myšlenek o uspořádání společnosti a státu;Způsob výpočtu daní;Filozofie přírody;Forma vlády v monarchii
Jaká ideologie prosazuje svobodu jednotlivce a volný trh?;Liberalismus;Socialismus;Fašismus;Nacionalismus
Co je hlavní myšlenkou konzervatismu?;Zachování tradic a stability;Změna bez pravidel;Státní vlastnictví všeho;Rozpuštění armády
Která ideologie usiluje o rovnost a sociální spravedlnost?;Socialismus;Liberalismus;Konzervatismus;Anarchismus
Co je komunismus?;Ideologie usilující o beztřídní společnost;Tržní ekonomika;Vládní systém v monarchii;Ekologické hnutí
Jaký režim prosazoval nacismus?;Totalitní s rasistickými a nacionalistickými prvky;Demokratický se sociální rovností;Liberální pluralismus;Konzervativní demokracie
Co je fašismus?;Totalitní ideologie založená na vůdcovském principu;Systém přímé demokracie;Utopická společnost;Forma anarchismu
Jaký je hlavní cíl environmentalismu?;Ochrana životního prostředí;Podpora exportu;Růst HDP;Zvýšení těžby uhlí
Co znamená nacionalismus?;Zdůraznění významu vlastního národa;Zastávání svobody jednotlivce;Rovnost všech národností;Spolupráce států EU
Co je anarchismus?;Ideologie odmítající státní moc;Forma demokratického řízení;Systém cenzury;Konzervativní proud
Co prosazuje feminismus?;Rovnoprávnost žen a mužů;Nadvládu žen;Omezení vzdělávání mužů;Tradiční rozdělení rolí
Kdo byl představitelem liberalismu?;John Locke;Karl Marx;Adolf Hitler;Platon
Kdo je spojen s komunismem?;Karl Marx;John Stuart Mill;Aristoteles;Adam Smith
Jaké jsou základní dokumenty o lidských právech?;Všeobecná deklarace lidských práv, Listina základních práv a svobod;Občanský zákoník;Dohoda o volném obchodu;Zákoník práce
Co jsou lidská práva?;Základní práva, která náleží každému člověku;Práva státu na majetek;Zákony o dopravě;Vlastnické právo na půdu
Kdy byla přijata Všeobecná deklarace lidských práv?;1948;1918;1989;2000
Jaký je význam lidských práv?;Zajišťují důstojnost a svobodu jednotlivce;Omezují pohyb osob;Zvyšují daně;Zajišťují levnou pracovní sílu
Co je politická doktrína?;Souhrn idejí a principů určité politiky;Vědecký popis státního zřízení;Zákon o dani z příjmů;Typ volebního systému
Jaký je vztah mezi ideologií a politickou praxí?;Ideologie ovlivňují konkrétní politická rozhodnutí;Neexistuje žádná vazba;Jsou zcela oddělené;Ideologie zakazují praxi
Proč je důležité znát různé ideologie?;Pomáhá pochopit politické názory a chování;Zvyšuje příjem;Učí řídit auto;Rozšiřuje turistické trasy
