Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je roztok?;Homogenní směs dvou nebo více látek;Heterogenní směs;Čistá látka;Plyn
Co je rozpouštědlo?;Látka, která rozpouští jinou látku;Pevná složka směsi;Produkt reakce;Oxid
Co je rozpuštěná látka?;Látka, která se rozpouští v rozpouštědle;Látka tvořící dno nádoby;Kapalina;Voda
Jaký je vzorec pro výpočet hmotnostního zlomku?;w = m_látky / m_roztoku;w = V_látky / V_roztoku;w = m_roztoku / m_látky;w = n / M
Co znamená zředění roztoku?;Snížení koncentrace přidáním rozpouštědla;Zvýšení koncentrace;Odstranění látky;Změna teploty
Co říká Brönstedova teorie kyselin a zásad?;Kyselina je donor protonu, zásada je akceptor protonu;Kyselina má záporný náboj;Zásada je donor elektronů;Kyselina snižuje pH
Co je pH?;Míra kyselosti nebo zásaditosti roztoku;Koncentrace roztoku;Hustota látky;Oxidační číslo
Jaká je hodnota pH neutrálního roztoku?;7;0;1;14
Jaký roztok má pH menší než 7?;Kyselý;Zásaditý;Neutrální;Nasycený
Jaký roztok má pH větší než 7?;Zásaditý;Kyselý;Neutrální;Koncentrovaný
Co je autoprotolýza vody?;Samovolné předání protonu mezi molekulami vody;Rozklad vody na kyslík;Odpařování vody;Reakce s vodíkem
Jaký ion vzniká při disociaci kyseliny?;H⁺ (proton);OH⁻;Na⁺;Cl⁻
Jaký ion vzniká při disociaci zásady?;OH⁻;H⁺;H₃O⁺;Na⁺
Co jsou karboxylové kyseliny?;Organické kyseliny s -COOH skupinou;Sloučeniny s -NH₂ skupinou;Estery;Aldehydy
Jaká je funkční skupina karboxylových kyselin?;-COOH;-OH;-NH₂;-CHO
Jaké vlastnosti mají karboxylové kyseliny?;Kyselé, dobře rozpustné ve vodě;Zásadité;Neutrální;Nestabilní
Jak reagují karboxylové kyseliny s hydroxidy?;Tvoří soli a vodu;Tvoří estery;Nevzniká žádný produkt;Tvoří alkoholy
Jaký je příklad jednoduché karboxylové kyseliny?;Kyselina octová;Ethanol;Fenol;Methan
Jaký je vzorec kyseliny octové?;CH₃COOH;CH₄;HCOOH;C₂H₅OH
K čemu se používají karboxylové kyseliny?;Konzervace, výroba plastů, rozpouštědla;Syntéza bílkovin;Tvorba plynů;Barvení tkanin
