Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je phishing?;Podvodné získávání citlivých údajů;Bezpečný způsob přihlášení;Způsob šifrování;Typ počítačové sítě
Co je silné heslo?;Heslo obsahující malá a velká písmena, čísla a speciální znaky;Heslo složené jen z čísel;Datum narození;Jméno domácího mazlíčka
Jak často by se mělo měnit heslo?;Pravidelně, např. každých 3–6 měsíců;Nikdy;Každý den;Po každém přihlášení
Co je dvoufázové ověření?;Doplňková vrstva zabezpečení využívající druhý způsob ověření;Uložení hesla do cloudu;Ověření antivirem;Ověření pomocí Wi-Fi
Co znamená zámek v adresním řádku prohlížeče?;Bezpečné HTTPS připojení;Zamčený obsah;Blokovaný přístup;Offline režim
Co je sociální inženýrství?;Manipulace lidí za účelem získání informací;Typ šifrování;Odborný titul;Formátování disku
Jak chránit počítač před viry?;Používat aktuální antivirový program;Neinstalovat žádný software;Používat pouze Google;Vypnout Wi-Fi
Jak se pozná podezřelý e-mail?;Obsahuje neobvyklé odkazy, chyby nebo výzvy k urgentnímu jednání;Je od kamaráda;Je v češtině;Obsahuje obrázek
Co je ergonomie?;Přizpůsobení pracovního prostředí potřebám uživatele;Typ viru;Nastavení antiviru;Tvar počítače
Jak správně sedět u počítače?;Rovná záda, monitor v úrovni očí, nohy na zemi;Zhrbeně s hlavou dolů;Ležmo v posteli;Stát při práci
Který z následujících tipů pomáhá při ochraně soukromí na internetu?;Neposkytovat osobní údaje na neznámých stránkách;Sdílet hesla;Přihlašovat se všude stejným heslem;Používat veřejné Wi-Fi pro bankovnictví
Jaký je důsledek kliknutí na podezřelý odkaz?;Možné infikování zařízení nebo krádež dat;Změna písma;Rychlejší připojení;Automatické odhlášení
Jaký software slouží k ochraně před malwarem?;Antivirus;Word;Excel;Paint
Co znamená malware?;Škodlivý software;Počítačový jazyk;Zabezpečený web;Operační systém
Co je firewall?;Bezpečnostní prvek chránící síť a počítač;Antivirový program;Typ síťového kabelu;Webová stránka
Které z následujících hesel je nejbezpečnější?;P@ssw0rd2024!;123456;jmeno123;qwerty
Proč by se neměla používat veřejná Wi-Fi k citlivým operacím?;Může být snadno odposlouchávána;Je pomalá;Je drahá;Je blokovaná
Jaká je vhodná délka hesla?;Minimálně 8 znaků, ideálně 12 a více;4 znaky;2 znaky;Stejné jako přezdívka
Co je netiketa?;Slušné chování na internetu;Síťová etiketa;Nový typ viru;Název routeru
Jak chránit děti před nevhodným obsahem?;Používat rodičovskou kontrolu a filtry;Dovolit vše;Nedávat jim počítač;Zakázat internet
