Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Který stát byl první, kde proběhla buržoazní revoluce?;Nizozemí;Anglie;USA;Francie
Kdy získalo Nizozemí nezávislost na Španělsku?;1648;1620;1600;1701
Jak se jmenoval vůdce nizozemské revoluce?;Vilém Oranžský;Oliver Cromwell;George Washington;Robespierre
Jaký dokument uznal nezávislost Nizozemska?;Vestfálský mír;Magna charta;Basilejská dohoda;Pařížský protokol
Kdy proběhla anglická občanská válka?;1642–1649;1620–1630;1660–1670;1700–1710
Kdo vedl parlamentní vojska během anglické občanské války?;Oliver Cromwell;Vilém Oranžský;Karel I.;James II.
Jaký byl osud anglického krále Karla I.?;Byl popraven;Utekl do Francie;Zemřel přirozenou smrtí;Získal zpět trůn
Jaký režim nastolil Cromwell?;Republiku (protektorát);Monarchii;Církevní stát;Federaci
Kdy vznikly Spojené státy americké?;1776;1789;1750;1801
Jak se jmenuje dokument vyhlašující nezávislost USA?;Deklarace nezávislosti;Ústava USA;Bill of Rights;Listina práv
Kdo byl hlavním autorem Deklarace nezávislosti?;Thomas Jefferson;George Washington;Benjamin Franklin;John Adams
Který stát podporoval USA během války za nezávislost?;Francie;Německo;Španělsko;Rusko
Která bitva byla rozhodující pro nezávislost USA?;Bitva u Yorktownu;Bitva u Saratogy;Bitva u Lexingtonu;Bitva u Gettysburgu
Jaký byl důsledek buržoazních revolucí?;Založení nových demokratických států;Zničení monarchií;Vznik otroctví;Ztráta kolonií
Co bylo příčinou americké revoluce?;Daňové a politické spory s Británií;Náboženské rozdíly;Občanská válka;Zákaz obchodu
Jaký politický systém byl zaveden po americké revoluci?;Republika;Absolutní monarchie;Teokracie;Feudalismus
Kdo se stal prvním prezidentem USA?;George Washington;Thomas Jefferson;John Adams;Abraham Lincoln
Jaký vliv měly buržoazní revoluce na Evropu?;Inspirace pro další revoluční hnutí;Pád Evropy;Zákaz tisku;Ztráta jazyků
Jaké změny přinesla anglická revoluce?;Omezení moci krále a posílení parlamentu;Zákaz obchodu;Pád církve;Rozpad státu
Jaký byl výsledek slavné revoluce v Anglii (1688)?;Nástup Viléma Oranžského a parlamentní monarchie;Poprava krále;Vznik republiky;Rozdělení země
