Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co udává oxidační číslo prvku ve sloučenině?;Počet elektronů, které atom odevzdal nebo přijal;Počet protonů v jádře;Atomovou hmotnost;Teplotu tání prvku
Jak se značí oxidační číslo?;Římskými číslicemi nad prvkem;Arabskými čísly pod prvkem;Písmeny vedle prvku;Symboly prvků
Jaký je oxidační stav kyslíku ve většině sloučenin?;-II;+II;0;-I
Co znamená relativní atomová hmotnost?;Poměr hmotnosti atomu k 1/12 hmotnosti atomu uhlíku 12;Hmotnost atomu v gramech;Počet neutronů;Počet elektronů
Jak se značí relativní atomová hmotnost?;Ar;Mr;n;m
Co je látkové množství?;Počet částic v jednom molu;Hmotnost vzorku;Objem vzorku;Síla přitažlivosti
Jednotka látkového množství je?;Mol;Gram;Litr;Joule
Jaká je hodnota Avogadrovy konstanty?;6,022·10^23 mol⁻¹;1,602·10⁻¹⁹ C;3,00·10⁸ m/s;9,81 m/s²
Co udává molární hmotnost?;Hmotnost jednoho molu látky;Počet částic v látce;Objem jednoho molu;Tlak plynu
Jednotka molární hmotnosti je?;g/mol;mol/l;kg;J/mol
Co udává molární objem?;Objem jednoho molu plynu za normálních podmínek;Hmotnost vzorku;Počet částic;Koncentraci roztoku
Jaká je přibližná hodnota molárního objemu ideálního plynu?;22,4 dm³/mol;6,022·10^23 mol⁻¹;1 mol;100 cm³/mol
Co vyjadřuje stechiometrie?;Poměry látek v chemických reakcích;Teplotu reakce;Tvar molekul;Rychlost reakce
Co je makrobiogenní prvek?;Prvek nezbytný pro život ve větším množství;Prvek přítomný jen ve stopách;Radioaktivní prvek;Prvek prokázaný ve vesmíru
Který z následujících prvků je makrobiogenní?;Dusík;Fluor;Rtuť;Jód
Co je mikrobiogenní prvek?;Prvek nezbytný pro život ve stopových množstvích;Prvek přítomný v každé sloučenině;Prvek tvořící plyny;Prvek bez biologické funkce
Jaký je význam vody v živých organismech?;Rozpouštědlo, transport látek, udržování teploty;Zdroj energie;Tvorba pigmentu;Tvorba DNA
Jaká je chemická značka oxidu uhličitého?;CO₂;CO;C₂O;O₂C
Jaký je význam oxidu uhličitého v organismu?;Podílí se na udržení pH a dýchání;Je hlavní složkou DNA;Způsobuje barvení krve;Slouží jako enzym
Jaký je význam amoniaku (NH₃) v biologii?;Produkce močoviny a detoxikace;Zásobárna glukózy;Barvivo v krvi;Působí jako hormon
