Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou alkany?;Nasycené uhlovodíky s jednoduchými vazbami;Nenasycené uhlovodíky;Areny;Kyslíkaté deriváty
Jaký je obecný vzorec alkanů?;CₙH₂ₙ₊₂;CₙH₂ₙ;CₙH₂ₙ₋₂;CH₃COOH
Jaké jsou příklady alkanů?;Metan, etan, propan;Ethen, butadien;Benzen, toluen;Aceton, ethanol
Co jsou alkeny?;Uhlovodíky s jednou dvojnou vazbou;Uhlovodíky s trojnou vazbou;Nasycené uhlovodíky;Aromatické uhlovodíky
Jaký je obecný vzorec alkenů?;CₙH₂ₙ;CₙH₂ₙ₊₂;CₙH₂ₙ₋₂;CH₃OH
Co jsou alkyny?;Uhlovodíky s jednou trojnou vazbou;Uhlovodíky s dvojnou vazbou;Cyklické uhlovodíky;Alkoholy
Jaký je příklad cykloalkanu?;Cyklohexan;Benzen;Ethanol;Methan
Jak se získávají alkany?;Z ropy a zemního plynu;Fotosyntézou;Hydrolýzou škrobu;Fermentací
Kde se používají alkany?;Paliva, výroba plastů;Léčiva;Barviva;Pesticidy
Jaká je reaktivita alkanů?;Nízká, podléhají radikálovým substitucím;Velmi vysoká;Podléhají oxidaci kyslíkem za pokojové teploty;Explozivní
Jaká je elektrická vodivost mědi?;Velmi vysoká;Nízká;Střední;Nevodivá
Jaký je chemický symbol mědi?;Cu;Co;Cr;Zn
Na co se používá měď?;Elektrické vodiče, slitiny;Výroba skla;Léčiva;Paliva
Jaká je barva sloučenin mědi(II)?;Modrá;Červená;Bílá;Černá
Která slitina obsahuje měď?;Bronz;Ocel;Mosaz;Hliník
Jaká je chemická značka zinku?;Zn;Zr;ZnO;Cu
Na co se používá zinek?;Povrchová ochrana kovů, slitiny;Barvení textilu;Fotosyntéza;Tepelná izolace
Jaký je biologický význam zinku?;Součást enzymů, imunita;Podpora fotosyntézy;Zásobárna energie;Barvení očí
Jak se nazývá proces pokrytí železa vrstvou zinku?;Galvanizace;Oxidace;Zinkování;Tvrzení
Jaká je barva oxidu zinečnatého?;Bílá;Zelená;Černá;Modrá
