Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je osobnost?;Souhrn psychických vlastností a projevů jedince;Soubor fyzických dovedností;Zákon právní ochrany;Součást lidského těla
Jaké složky tvoří strukturu osobnosti?;Schopnosti, temperament, charakter, inteligence;Paměť, krev, výška, věk;Přátelé, majetek, práce;Jazyk, kultura, pohlaví
Co jsou schopnosti?;Vlastnosti umožňující vykonávat určitou činnost;Fyzické dispozice;Vědecké zákony;Technické nástroje
Jaký je rozdíl mezi nadáním a talentem?;Talent je vyšší stupeň nadání;Nadání je fyzická síla;Talent je vrozený strach;Neexistuje žádný rozdíl
Co je inteligence?;Schopnost řešit problémy, učit se a přizpůsobovat se;Rychlost běhu;Fyzická síla;Cit pro hudbu
K čemu slouží IQ testy?;Měří úroveň inteligence;Testují sílu;Zjišťují tělesný tuk;Hodnotí barvocit
Co je temperament?;Dynamické vlastnosti prožívání a chování;Stav kostry;Hmotnostní index;Krevní skupina
Které typy temperamentu rozlišujeme podle Hippokrata?;Sangvinik, cholerik, flegmatik, melancholik;Introvert, extrovert, realista, pesimista;Optimista, pesimista, racionalista, pragmatik;Chladný, horký, světlý, tmavý
Co je charakter?;Soubor morálních vlastností člověka;Fyzická konstituce;Typ oblečení;Délka vlasů
Které vlastnosti jsou spojeny s vyspělým charakterem?;Zodpovědnost, čestnost, sebekontrola;Lenost, náladovost, neklid;Rychlost, síla, výška;Vědomí, neklid, potence
Co je socializace?;Proces začleňování jedince do společnosti;Izolace jednotlivce;Proces trávení potravy;Oslabení imunity
Jaký význam má období dospívání?;Zásadní vývoj osobnosti, hledání identity;Růst nehtů;Změna bydliště;Zvýšení příjmů
Kdy obvykle probíhá adolescence?;Mezi 12–20 lety;Mezi 2–5 lety;Po 40. roce;V období stáří
Co je sebevědomí?;Vědomí vlastní hodnoty;Kontrola ostatních;Síla těla;Zdravotní stav
Jaký vliv má výchova na vývoj osobnosti?;Významně ovlivňuje postoje, hodnoty, chování;Způsobuje nemoci;Zvyšuje tlak;Snižuje inteligenci
Jaké faktory ovlivňují vývoj osobnosti?;Dědičnost, výchova, prostředí, vlastní aktivita;Barva očí, jméno, výška;Strava, váha, IQ;Telefon, počítač, reklama
Co znamená pojem identita?;Vědomí vlastní jedinečnosti;Ztráta paměti;Přizpůsobení okolí;Změna adresy
Jaký je rozdíl mezi extrovertem a introvertem?;Extrovert je společenský, introvert je uzavřený;Extrovert je starší;Introvert má silné svaly;Introvert je bohatší
Jaký význam má motivace v osobnosti?;Podněcuje činnost a chování;Zvyšuje tělesnou teplotu;Zpomaluje růst;Způsobuje nemoc
Co je autoregulace osobnosti?;Schopnost řídit své chování a prožívání;Svalová reakce na chlad;Výkyv nálad;Změna místa bydliště
