Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je povrchové napětí?;Síla působící na jednotkovou délku povrchu kapaliny;Síla mezi molekulami plynu;Napětí mezi pevnými tělesy;Tření kapaliny
Jak se projevuje povrchové napětí?;Tvorbou kulových kapek, držení hmyzu na hladině;Rozptylem kapaliny;Změnou barvy;Změnou objemu
Co je kapilarita?;Vzestup nebo pokles kapaliny v tenké trubici;Rozpouštění látky;Proudění kapaliny;Viskozita kapaliny
Jaký je vztah mezi povrchovým napětím a kapilaritou?;Vyšší povrchové napětí = výraznější kapilarita;Neexistuje žádný vztah;Čím vyšší kapilarita, tím menší napětí;Vztah je nepřímý
Co je povrchová vrstva kapaliny?;Vrstva molekul na rozhraní kapalina-plyn;Vnitřní část kapaliny;Vrstva sedimentu;Vrstva pěny
Jak kapalina reaguje při kontaktu s pevným tělesem?;Může smáčet nebo nesmáčet povrch;Vždy se odpaří;Změní barvu;Ztvrdne
Co znamená anomálie vody?;Voda má největší hustotu při 4 °C;Voda tuhne při 50 °C;Voda nemá povrchové napětí;Voda má konstantní viskozitu
Proč plave led na vodě?;Má menší hustotu než kapalná voda;Má větší hmotnost;Je tvrdší;Je chemicky stabilní
Co je smáčení?;Schopnost kapaliny rozprostřít se po povrchu;Změna skupenství;Pěnění kapaliny;Změna barvy
Co je kohezní síla?;Přitažlivost mezi molekulami jedné látky;Přitažlivost mezi různými látkami;Přitažlivost mezi ionty;Síla proti gravitaci
Co je adhezní síla?;Přitažlivost mezi molekulami různých látek;Přitažlivost uvnitř kapaliny;Odpudivá síla;Síla odporu
Kdy vzniká konvexní meniskus?;Při nesmáčení stěny (rtuť ve skle);Při smáčení;Vždy při nízké teplotě;Při varu
Kdy vzniká konkávní meniskus?;Při smáčení stěny (voda ve skle);Při nesmáčení;Při vysoké hustotě;Při vysokém tlaku
Jaká je jednotka povrchového napětí?;N/m;Pa;J/kg;N·m
Jak souvisí teplota s povrchovým napětím?;Vyšší teplota = nižší napětí;Vyšší teplota = vyšší napětí;Teplota nemá vliv;Napětí roste logaritmicky
Které kapaliny mají vysoké povrchové napětí?;Voda, rtuť;Benzín, alkohol;Ethanol;Olej
Jak se liší kapaliny od plynů?;Mají stálý objem;Jsou stlačitelné;Mají volné molekuly;Nemají žádný tvar
Co je viskozita?;Vnitřní odpor proti proudění;Rychlost kapaliny;Hustota kapaliny;Směr proudění
Jaký vztah platí pro proudění viskózní kapaliny?;Poiseuillův zákon;Newtonův zákon;Ohmův zákon;Keplerův zákon
Jaký je praktický význam povrchového napětí?;Vytváření kapek, smáčení, kapilarita;Změna barvy;Způsobuje chladnutí;Způsobuje elektrický proud
