Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kde vznikla první známá civilizace?;Mezopotámie;Řecko;Řím;Čína
Jaký typ vlády představuje despocie?;Neomezená moc panovníka;Demokracie;Republika;Feudalismus
Která řeka byla klíčová pro vznik egyptské civilizace?;Nil;Eufrat;Tigris;Indus
Které dvě řeky protékají Mezopotámií?;Tigris a Eufrat;Nil a Amazonka;Indus a Ganga;Rýn a Dunaj
Jaký byl hlavní materiál pro psaní v Egyptě?;Papyrus;Pergamen;Hlína;Dřevo
Jak se jmenuje písmo starých Egypťanů?;Hieroglyfy;Klinové písmo;Latinka;Sanskrtské písmo
Co bylo typickým rysem egyptské společnosti?;Silná moc faraona;Volby;Senát;Kmenová samospráva
Jaký zákoník vznikl v Mezopotámii?;Zákoník krále Chammurapiho;Desatero přikázání;Drakónův zákoník;Zákony Lykurga
Jaký význam měla zavlažovací zařízení ve starověkých říších?;Zajištění zemědělství;Stavba chrámů;Dopravní účely;Obranné stavby
Kde vznikla harappská kultura?;Indie;Egypt;Čína;Persie
Kdo byl faraon?;Božský panovník Egypta;Kněz Mezopotámie;Válečník z Řecka;Obchodník z Persie
Jak se nazývá velká stavba sloužící jako hrobka egyptských panovníků?;Pyramida;Zikkurat;Megalit;Agora
Který národ používal klinové písmo?;Sumerové;Egypťané;Indové;Římané
Co je to zikkurat?;Chrámová stavba v Mezopotámii;Egyptská hrobka;Řecká pevnost;Perská škola
Jaký byl hlavní účel mumifikace v Egyptě?;Zachování těla pro posmrtný život;Zamezení šíření nemocí;Připravení k obchodu;Zasvěcení bohům
Kdo vládl v Perské říši?;Velkokrál;Faraon;Konzul;Basileus
Jaký je význam Rosettské desky?;Pomohla rozluštit hieroglyfy;Zákoník Chammurapiho;Popis pyramid;Seznam bohů
Co bylo hlavní hospodářskou činností starověkých východních civilizací?;Zemědělství;Průmysl;Bankovnictví;Strojírenství
Který vynález je připisován Číňanům?;Papír;Písmo;Obloukový most;Zákony
Jaká říše ovládla Blízký východ kolem roku 500 př. n. l.?;Perská říše;Řecká říše;Římská říše;Kartágo
