Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl Auguste Comte?;Zakladatel pozitivismu;Tvůrce komunismu;Římský císař;Řecký dramatik
Co je pozitivismus?;Filosofie založená na vědeckém poznání a faktech;Věda o pocitech;Hudební směr;Ekonomická teorie
Co je novopozitivismus?;Moderní forma pozitivismu, zdůrazňující logický jazyk a vědu;Hudební žánr;Politické hnutí;Starověká nauka
Kdo byl Bertrand Russell?;Představitel analytické filosofie a logik;Malíř;Středověký filosof;Římský právník
Co je pragmatismus?;Filosofický směr zaměřený na praktické důsledky poznání;Teorie krásy;Náboženský výklad světa;Středověké právo
Kdo byl hlavní představitel pragmatismu?;William James;J. Locke;I. Kant;G. Hegel
Kdo byl Søren Kierkegaard?;Zakladatel existencialismu;Francouzský osvícenec;Americký prezident;Římský vojevůdce
Co je existencialismus?;Filosofie zaměřená na svobodu, volbu a úzkost lidské existence;Teorie státu;Náboženský směr;Hudební forma
Kdo byl Jean-Paul Sartre?;Francouzský existencialista, autor díla 'Bytí a nicota';Italský právník;Německý básník;Řecký sochař
Kdo byl Albert Camus?;Filosof absurdity, autor díla 'Mýtus o Sisyfovi';Ředitel školy;Hudební skladatel;Malíř
Co znamená 'absurdita' v existencialismu?;Rozpor mezi hledáním smyslu a nesmyslností světa;Přírodní katastrofa;Logická chyba;Nedostatek času
Co je postmodernismus?;Filosofický směr zdůrazňující pluralitu, relativitu a kritiku modernity;Návrat k antice;Zákon o médiích;Metoda výuky
Jaké jsou znaky postmodernismu?;Relativismus, kritika univerzálních pravd, fragmentace;Jednotnost, dogma, přísnost;Vědecký realismus;Náboženská víra
Kdo byl Michel Foucault?;Postmoderní filosof zabývající se mocí a diskurzem;Starověký lékař;Vynálezce parního stroje;Středověký rytíř
Kdo byl Jacques Derrida?;Zakladatel dekonstrukce, postmoderní filosof;Ředitel univerzity;Kardinál;Učitel fyziky
Co je dekonstrukce?;Metoda kritiky textů a významů;Vývojová fáze člověka;Ekologická teorie;Zákon o armádě
Jak postmodernismus vnímá pravdu?;Pravda je relativní a závislá na kontextu;Pravda je univerzální;Pravda je v Bibli;Pravda je matematická
Proč je postmodernismus kritický k vědě a racionalitě?;Vidí v nich nástroje moci a omezení různorodosti;Nevěří ve vzdělání;Odmítá pokrok;Nezná logiku
Co je typické pro myšlení 21. století?;Globalizace, ekologické otázky, umělá inteligence, etika technologií;Zákaz filosofie;Středověké přístupy;Návrat k mýtu
Proč je důležité studovat současné filosofické směry?;Pomáhají reflektovat výzvy dnešního světa;Zvyšují plat;Ovlivňují hudbu;Řídí dopravu
