Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je buněčná teorie?;Všechny organismy se skládají z buněk a buňky jsou základní jednotkou života;Buňky vznikají z anorganických látek;Buňky nemají jádro;Buňky nelze pozorovat
Jaké organely obsahuje rostlinná buňka navíc oproti živočišné?;Chloroplasty, buněčná stěna, vakuola;Mitochondrie a jádro;Lyzozomy a centrioly;Ribozomy a jádro
Kde probíhá fotosyntéza v rostlinné buňce?;V chloroplastech;V jádře;V cytoplazmě;V Golgiho aparátu
Co je funkce vakuoly?;Uchovávání vody a iontů, turgor buňky;Tvorba bílkovin;Štěpení cukrů;Přenos signálů
Co je mitóza?;Dělení jádra vedoucí ke vzniku dvou identických dceřiných buněk;Redukční dělení;Rozpad jádra;Tvorba gamet
Co je amitóza?;Přímé dělení jádra bez tvorby dělícího vřeténka;Dělení mitochondrií;Replikace DNA;Syntéza RNA
Jaká je hlavní funkce jádra v buňce?;Ukládání genetické informace;Produkce bílkovin;Ochrana před UV zářením;Tvorba glukózy
Které organely patří mezi membránové?;Endoplazmatické retikulum, Golgiho aparát, mitochondrie;Ribozomy, centriol;Cytoskelet, chromatin;Jádro a cytoplazma
Co tvoří cytoskelet?;Mikrotubuly, mikrofilamenta, intermediární filamenta;Chlorofyl a voda;DNA a RNA;Lyzozomy a vakuola
Co je maligní bujení?;Nekontrolované množení buněk s možností metastáz;Normální růst buněk;Amitóza;Ztráta vody z buňky
