Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je hlavním znakem organických sloučenin?;Obsahují uhlík;Obsahují síru;Obsahují kyslík;Obsahují kovy
Jak se dělí uhlovodíky?;Podle řetězce a násobnosti vazby;Podle skupenství;Podle barvy;Podle hmotnosti
Jaké jsou základní typy uhlovodíků?;Alkany, alkeny, alkyny;Areny, alkoholy, ketony;Estery, aminy, kyseliny;Peptidy, tuky, sacharidy
Jaký je funkční derivát uhlovodíku bez kyslíku?;Halogenderiváty;Alkoholy;Ketony;Kyseliny
Jaký je funkční derivát uhlovodíku s kyslíkem?;Aldehydy a ketony;Halogenderiváty;Aminy;Nitrosloučeniny
Jak se liší aldehyd a keton?;Aldehyd má -CHO na konci řetězce, keton má =O uvnitř;Keton má dusík;Aldehyd má hydroxyl;Aldehyd má dvě karboxylové skupiny
Jaká je funkční skupina aldehydů?;-CHO;-CO-;-OH;-NH₂
Jaká je funkční skupina ketonů?;-CO-;-CHO;-COOH;-SH
Který z těchto je příkladem aldehydu?;Formaldehyd;Aceton;Ethanol;Benzol
Který z těchto je příkladem ketonu?;Aceton;Formaldehyd;Methanol;Ethanal
Jak se tvoří systematický název aldehydu?;Základ uhlovodíku + -al;Základ uhlovodíku + -on;Základ uhlovodíku + -ol;Základ uhlovodíku + -id
Jak se tvoří systematický název ketonu?;Základ uhlovodíku + -on;Základ uhlovodíku + -al;Základ uhlovodíku + -ol;Základ uhlovodíku + -yl
Jaká je chemická vlastnost karbonylové skupiny?;Polární, reaktivní;Neutrální;Zásaditá;Inertní
Jaké reakce podléhají aldehydy?;Oxidace a redukce;Polymerace;Substituce;Dekompozice
Jaké reakce podléhají ketony?;Redukce;Oxidace na CO₂;Dekompozice;Karboxylace
Co vzniká oxidací aldehydů?;Kyseliny karboxylové;Alkoholy;Estery;Fenoly
Co vzniká redukcí aldehydů?;Primární alkoholy;Ketony;Estery;Karboxylové kyseliny
Jaké jsou fyzikální vlastnosti aldehydů a ketonů?;Polární, nízké body varu;Nepolární, pevné látky;Plyny bez zápachu;Těžké kovy
Jaká je biologická role některých aldehydů?;Působí jako signální molekuly;Zásobárna energie;Vstřebávání vitamínů;Podpora růstu vlasů
Jak se detekují aldehydy v laboratoři?;Tollensův nebo Fehlingův test;Lakmusový papírek;Chromatografie;Destilace
