Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou kroužkovci?;Bezobratlí živočichové s článkovaným tělem;Obratlovci s kostí;Parazité s ploutvemi;Plži s ulitou
Který živočich je zástupce kroužkovců?;Žížala obecná;Šnek zahradní;Kreveta;Škrkavka
Jaký typ těla mají kroužkovci?;Článkované s hydroskeletální oporou;Měkké bez členění;Kostěné s výběžky;Tvrdé s krunýřem
Jaká je tělesná soustava kroužkovců?;Uzavřená cévní soustava, trávicí trubice, nervový řetězec;Difúzní pletiva;Nemají cévy;Mají výhradně žábry
Kdo patří mezi parazitické kroužkovce?;Pijavka lékařská;Škrkavka;Velemlok;Saranče
K čemu slouží opasek u žížaly?;Rozmnožování – vylučuje obal pro vajíčka;Pohyb ve vodě;Zásobárna tuku;Filtrace vody
Co jsou členovci?;Nejpočetnější kmen živočichů s článkovaným tělem a exoskeletem;Jednobuněčné organismy;Živočichové bez těla;Vodní plži
Z čeho je tvořen exoskelet členovců?;Chitin;Kolagen;Keratin;Vápník
Jaký je hlavní význam svlékání u členovců?;Umožňuje růst;Zajišťuje rozmnožování;Zvyšuje rychlost;Zpevňuje exoskelet
Jak se dělí členovci?;Hmyz, pavoukovci, korýši;Žížaly, ploštěnci, hlísti;Kroužkovci, parazité, červi;Obratlovci, paryby, ryby
Který živočich patří mezi pavoukovce?;Sekáč;Včela;Škeble;Žába
Který živočich patří mezi korýše?;Rak říční;Žížala;Pavouk;Mravenec
Jaký je vývojový stupeň hmyzu s proměnou dokonalou?;Vajíčko, larva, kukla, dospělec;Vajíčko, larva, dospělec;Dospělec, larva, nymfa;Nymfa, vajíčko, dospělec
Co je typické pro smyslové orgány hmyzu?;Složené oči a tykadla;Jednoduché oči a uši;Žábry a pokožka;Křídla a ploutve
Jak dýchají hmyzí zástupci?;Vzdušnicemi;Žábrami;Plícemi;Kůží
Jakou cévní soustavu mají členovci?;Otevřenou;Uzavřenou;Difúzní;Žádnou
Jaký typ nervové soustavy mají členovci?;Žebříčkovitou;Trubicovitou;Difúzní;Sympatickou
Který živočich patří mezi hmyz?;Včela medonosná;Škeble rybničná;Sekáč rohatý;Ropucha zelená
K čemu slouží tykadla u hmyzu?;Vnímání chemických a mechanických podnětů;Dýchání;Pohyb;Vývoj žláz
Co je hlavní výhodou členovců v přírodě?;Rychlá adaptace, variabilita, početnost;Nízká spotřeba energie;Vysoká teplota těla;Stálý počet druhů
