Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl první historicky doložený český kníže?;Bořivoj I.;Spytihněv I.;Vratislav I.;Boleslav I.
Kdo byla manželka Bořivoje I.?;Ludmila;Drahomíra;Anežka;Eliška
Který kníže nechal zavraždit svatého Václava?;Boleslav I.;Spytihněv I.;Vratislav I.;Oldřich
Který Přemyslovec získal titul krále dědičně?;Přemysl Otakar I.;Václav I.;Boleslav II.;Vratislav II.
Kdy bylo založeno biskupství v Praze?;973;1212;1348;1000
Kdo byl prvním českým králem?;Vratislav II.;Přemysl Otakar I.;Boleslav I.;Oldřich
Jaký dokument potvrdil dědičný královský titul Přemyslovcům?;Zlatá bula sicilská;Bula Inter graviores;Dekret kutnohorský;Magna charta libertatum
Který Přemyslovec padl v bitvě na Moravském poli?;Přemysl Otakar II.;Václav III.;Boleslav II.;Vratislav II.
Kdo byl posledním mužským Přemyslovcem?;Václav III.;Přemysl Otakar II.;Václav II.;Boleslav III.
Za vlády kterého Přemyslovce došlo k rozmachu těžby stříbra v Kutné Hoře?;Václav II.;Boleslav II.;Oldřich;Vratislav I.
Který kníže upevnil český stát a vedl boj proti Polsku?;Boleslav I.;Bořivoj I.;Spytihněv I.;Vratislav I.
Který panovník založil řád křížovníků s červenou hvězdou?;Anežka Česká;Václav I.;Přemysl Otakar I.;Václav II.
Kdo vládl po Přemyslu Otakarovi II.?;Václav II.;Václav I.;Václav III.;Boleslav IV.
Jaký titul měl český panovník v rámci Svaté říše římské?;Kurfiřt;Císař;Papežský legát;Místodržící
Kdy byla vydána Zlatá bula sicilská?;1212;973;1348;1415
Který panovník zavedl tzv. horní regál?;Václav II.;Přemysl Otakar I.;Vratislav II.;Boleslav III.
Které město se stalo důležitým sídlem Přemyslovců?;Praha;Olomouc;Brno;Plzeň
Jaké právo získal český král Zlatou bulou sicilskou?;Dědičný královský titul;Právo razit mince;Právo svobodného obchodu;Církevní nezávislost
Kdo vládl mezi Václavem II. a Václavem III.?;Nikdo, šlo o přímé nástupnictví;Boleslav III.;Vratislav II.;Přemysl Otakar I.
Jakým způsobem skončila vláda Přemyslovců?;Vymřením po meči;Zavražděním posledního panovníka;Odchodem do exilu;Převzetím moci Habsburky
