Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co byla studená válka?;Politický a ideologický konflikt mezi Východem a Západem bez přímého vojenského střetu;Občanská válka v USA;Otevřený konflikt mezi NATO a Varšavskou smlouvou;Koloniální válka v Asii
Kdy začala studená válka?;Po roce 1945;V roce 1939;V roce 1918;V roce 1968
Které dva bloky proti sobě stály?;USA a jejich spojenci vs. SSSR a jejich spojenci;Německo vs. Francie;Anglie vs. Itálie;Japonsko vs. Čína
Co bylo cílem NATO?;Obrana západních států před sovětskou expanzí;Šíření komunismu;Zrušení kapitalismu;Kolonizace Afriky
Kdy vzniklo NATO?;1949;1945;1953;1961
Co byla Varšavská smlouva?;Vojenský pakt socialistických států pod vedením SSSR;Mírová dohoda s Japonskem;Hospodářská unie Evropy;Spojenectví USA a Velké Británie
Kdy vznikla Varšavská smlouva?;1955;1948;1960;1946
Kde byl vybudován Berlínský zeď?;V Německu – rozdělení Berlína na východní a západní část;Mezi USA a Mexikem;Mezi Severní a Jižní Koreou;Mezi Čínou a Tibetem
Kdy byla postavena Berlínská zeď?;1961;1949;1955;1970
Co symbolizoval rozpad SSSR pro studenou válku?;Konec studené války;Začátek třetí světové války;Vítězství socialismu;Zahájení Marshallova plánu
Jaký byl význam Marshallova plánu?;Obnova Evropy po 2. světové válce;Rozvoj vojenské síly;Podpora SSSR;Založení OSN
Které dvě země se podílely na korejské válce na opačných stranách?;USA a Čína;Francie a Německo;SSSR a Indie;Anglie a Vietnam
Co způsobila kubánská krize v roce 1962?;Hrozbu jaderné války mezi USA a SSSR;Příměří mezi Vietnamem a USA;Rozpad Varšavské smlouvy;Rozdělení Kuby
Kdo byl sovětským vůdcem během kubánské krize?;Nikita Chruščov;Josef Stalin;Leonid Brežněv;Michail Gorbačov
Kdy skončila studená válka?;1989–1991;1961;1975;2001
Co bylo SALT?;Dohoda o omezení jaderných zbraní mezi USA a SSSR;Výzkumný program NASA;Námořní smlouva;Zbrojní plán NATO
Jaká byla role OSN ve studené válce?;Snažila se zachovat mír a řešit konflikty diplomaticky;Organizovala vojenské akce;Vytvářela nové státy;Rozpouštěla unie
Který americký prezident navštívil Berlín v roce 1963?;John F. Kennedy;Ronald Reagan;Richard Nixon;George H. W. Bush
Jaký projev pronesl Kennedy v Berlíně?;Ich bin ein Berliner;I have a dream;We shall overcome;Freedom for all
Jaké bylo hlavní riziko studené války?;Možnost jaderného konfliktu;Rozpad Číny;Invaze do Afriky;Zánik OSN
