Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je právo?;Soubor pravidel chování uznávaných státem;Pravidla chování ve škole;Rodinné tradice;Sada návodů k použití
Co je právní řád?;Souhrn všech platných právních předpisů ve státě;Soubor zvyklostí;Systém známek;Výsledky voleb
Jaký je vývoj práva?;Od zvykového přes náboženské až k psanému;Od školních pravidel k ústavě;Od knih k internetu;Od ústního sdělení ke znakovému jazyku
Co je právní norma?;Obecně závazné pravidlo chování;Zákoník práce;Výrobní směrnice;Tisková zpráva
Jaké jsou znaky právní normy?;Platnost, účinnost, působnost;Velikost, barva, chuť;Výskyt, původ, tvar;Datum, čas, místo
Co je účinnost právní normy?;Okamžik, od kterého je norma závazná;Konec platnosti;Začátek výroby;Datum tisku
Co znamená působnost právní normy?;Oblast, na kterou se vztahuje;Počet lidí, kteří ji znají;Množství vyrobených kusů;Rozsah studia
Jaký je rozdíl mezi právní normou a předpisem?;Předpis je konkrétní forma právní normy;Norma je silnější než předpis;Předpis není závazný;Norma je jen doporučení
Kde se zveřejňují právní předpisy?;Ve Sbírce zákonů;V učebnici dějepisu;Na billboardech;V televizních zprávách
Co je právní vztah?;Vztah mezi subjekty upravený právem;Rodinný vztah;Vztah mezi školami;Přátelství
Kdo je právnická osoba?;Organizace uznaná státem jako subjekt práva;Dítě;Pes;Auto
Kdo je fyzická osoba?;Každý člověk od narození;Firma;Organizace;Robot
Jaký je rozdíl mezi právnickou a fyzickou osobou?;Právnická je organizace, fyzická jednotlivec;Fyzická je firma;Právnická je zvíře;Fyzická osoba neexistuje
Kdo zajišťuje právní ochranu v ČR?;Soudy, policie, státní zastupitelství;Média;Zdravotní pojišťovna;Církev
Jaká jsou hlavní právní odvětví?;Soukromé a veřejné právo;Zdravotní a kulturní;Technické a biologické;Soudní a školní
Co patří do veřejného práva?;Trestní, správní, finanční;Rodinné, pracovní;Obchodní, občanské;Kulturní, církevní
Co patří do soukromého práva?;Občanské, obchodní, rodinné;Trestní, daňové;Správní, školské;Státní, obecní
Jaký je účel práva?;Upravuje vztahy, chrání práva a stanoví povinnosti;Zajišťuje reklamu;Podporuje turistiku;Organizuje koncerty
Co je právní vědomí?;Schopnost vnímat a chápat právo;Schopnost řídit auto;Znalost jazyků;Cit pro hudbu
Proč je důležité znát základní pojmy práva?;Umožňuje orientaci ve společnosti a systému;Zvyšuje plat;Snižuje daně;Zajišťuje sportovní výkony
