Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy bylo tradičně založeno město Řím?;753 př. n. l.;509 př. n. l.;44 př. n. l.;27 př. n. l.
Jaký typ vlády byl v Římě po vyhnání posledního krále?;Republika;Monarchie;Despocie;Demokracie
Jak se nazývali nejvyšší volení úředníci v římské republice?;Konzulové;Senátoři;Císaři;Tribunové
Který římský vojevůdce překročil řeku Rubikon?;Julius Caesar;Pompeius;Cicero;Augustus
Kdy došlo k zavraždění Julia Caesara?;44 př. n. l.;27 př. n. l.;509 př. n. l.;476 n. l.
Kdo se stal prvním římským císařem?;Augustus;Caesar;Nero;Traján
Co označuje pojem Pax Romana?;Dlouhé období míru v římské říši;Název římské legie;Občanská válka;Povstání otroků
Jaké bylo rozdělení římské společnosti?;Patricijové a plebejci;Králové a poddaní;Senátoři a gladiátoři;Bohatí a chudí
Jaký byl hlavní orgán římské republiky?;Senát;Tribunál;Shromáždění;Konzilium
Které války vedl Řím proti Kartágu?;Púnské války;Peloponéské války;Řecko-perské války;Galské války
Kdo vedl kartaginské vojsko s pomocí slonů přes Alpy?;Hannibal;Scipio;Pyrrhos;Marius
Jaká aréna byla centrem římských her a gladiátorských zápasů?;Koloseum;Circus Maximus;Forum Romanum;Pantheon
Který císař rozdělil říši na západní a východní část?;Dioklecián;Nero;Hadrián;Traján
Kdy padla Západořímská říše?;476 n. l.;1453 n. l.;395 n. l.;410 n. l.
Kdo legalizoval křesťanství v římské říši?;Konstantin Veliký;Nero;Augustus;Marcus Aurelius
Jak se nazýval původní obyvatel Apeninského poloostrova před Římany?;Etruskové;Góti;Řekové;Keltové
Jak se nazývala římská vojenská jednotka?;Legie;Falanga;Divize;Oddíl
Kdo napsal dějiny Říma?;Titus Livius;Cicero;Horatius;Vergilius
Který filozof byl vychovatelem císaře Nerona?;Seneca;Plinius;Sokrates;Tacitus
Jaký význam měl římský právní systém?;Základ pro evropské právo;Pouze vojenské účely;Byl zničen s pádem říše;Používal se jen v Itálii
