Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je převodník A/D?";"Převádí analogový signál na digitální hodnotu";"Převádí digitální signál na analogový";"Zesiluje vstupní signál";"Měří teplotu"
"Co je převodník D/A?";"Převádí digitální hodnotu na analogový signál";"Převádí analogový signál na digitální hodnotu";"Zesiluje výstupní signál";"Filtruje šum"
"Jaký je princip A/D převodu?";"Vzorkování, kvantování a kódování";"Sčítání, odčítání a násobení";"Odfiltrování a zesílení signálu";"Komprese a dekomprese"
"Jaký je princip D/A převodu?";"Rekonstrukce signálu a filtrování";"Zesílení a komprese";"Redukce šumu a synchronizace";"Ukládání a přenos dat"
"Jaký je hlavní účel vzorkovače v A/D převodníku?";"Periodické vzorkování vstupního signálu";"Zesílení analogového signálu";"Redukce šumu signálu";"Stabilizace napětí"
"Jaký je princip Shannon-Kotělnikova teorému?";"Vzorkovací frekvence musí být alespoň dvakrát vyšší než maximální frekvence signálu";"Vzorkovací frekvence musí být vždy konstantní";"Vzorkovací frekvence nemá vliv na kvalitu signálu";"Vzorkovací frekvence závisí na šířce pásma"
"Co je aliasing?";"Zkreslení signálu způsobené nedostatečnou vzorkovací frekvencí";"Posun fáze při přenosu signálu";"Zeslabení signálu při nízkých frekvencích";"Filtrace vysokofrekvenčních šumů"
"Co je PAM?";"Pulse Amplitude Modulation, amplituda pulzů odpovídá signálu";"Pulse Width Modulation, šířka pulzů odpovídá signálu";"Pulse Frequency Modulation, frekvence pulzů odpovídá signálu";"Pulse Position Modulation, pozice pulzů odpovídá signálu"
"Co je PPM?";"Pulse Position Modulation, pozice pulzů odpovídá signálu";"Pulse Amplitude Modulation, amplituda pulzů odpovídá signálu";"Pulse Width Modulation, šířka pulzů odpovídá signálu";"Pulse Frequency Modulation, frekvence pulzů odpovídá signálu"
"Co je PFM?";"Pulse Frequency Modulation, frekvence pulzů odpovídá signálu";"Pulse Amplitude Modulation, amplituda pulzů odpovídá signálu";"Pulse Width Modulation, šířka pulzů odpovídá signálu";"Pulse Position Modulation, pozice pulzů odpovídá signálu"
"Co je PWM?";"Pulse Width Modulation, šířka pulzů odpovídá signálu";"Pulse Amplitude Modulation, amplituda pulzů odpovídá signálu";"Pulse Frequency Modulation, frekvence pulzů odpovídá signálu";"Pulse Position Modulation, pozice pulzů odpovídá signálu"
"Co je PCM?";"Pulse Code Modulation, převod analogového signálu na digitální kód";"Pulse Amplitude Modulation, amplituda pulzů odpovídá signálu";"Pulse Width Modulation, šířka pulzů odpovídá signálu";"Pulse Position Modulation, pozice pulzů odpovídá signálu"
"Co je vzorkovací frekvence?";"Počet vzorků signálu za jednotku času";"Počet bitů v digitálním signálu";"Počet kanálů přenášených v síti";"Počet kmitů za sekundu"
"Co je Wi-Fi?";"Bezdrátový přenos dat na krátkou vzdálenost";"Drátový přenos dat na dlouhou vzdálenost";"Analogový přenos zvuku";"Přenos signálu přes optické vlákno"
"Jaké rozhraní používá Ethernet?";"Kabelové připojení pomocí UTP kabelů";"Bezdrátové připojení pomocí Bluetooth";"Optické připojení pomocí vláken";"Infra přenos dat"
"Jaké jsou hlavní generace mobilních sítí?";"2G, 3G, 4G, 5G";"1G, 2G, 3G, 4G";"Wi-Fi 4, Wi-Fi 5, Wi-Fi 6";"Bluetooth 3.0, 4.0, 5.0"
"Co je funkce PWM na Arduinu?";"Regulace jasu LED nebo rychlosti motoru";"Převod zvukového signálu na digitální";"Ukládání dat na paměťovou kartu";"Připojení k Wi-Fi síti"
"Jaké jsou hlavní druhy pulzní modulace?";"PAM, PPM, PFM, PWM, PCM";"AM, FM, PM, SSB";"ADC, DAC, FFT, DSP";"GSM, LTE, UMTS, CDMA"
"Jaký je hlavní účel filtru v A/D převodníku?";"Odstranění vysokofrekvenčních složek před vzorkováním";"Zesílení vstupního signálu";"Redukce šumu při přenosu";"Komprese dat při ukládání"
"Co je funkce Sample & Hold?";"Udržení hodnoty signálu během vzorkování";"Generování pulzního signálu";"Stabilizace napětí na výstupu";"Řízení frekvence oscilátoru"
