Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo byl Jan Hus?;Český reformátor a myslitel, kritik církve;Francouzský vojevůdce;Římský císař;Řecký básník
Co bylo hlavní myšlenkou Jana Husa?;Pravda vítězí, kritika církevní moci;Víra ve více bohů;Oslava bohatství;Obrana římské říše
Jak Hus ovlivnil české dějiny?;Inspiroval husitské hnutí a českou reformaci;Založil království;Vedl armádu proti Německu;Založil univerzitu
Kdo byl Petr Chelčický?;Český myslitel a kritik násilí a feudální společnosti;Italský básník;Církevní vůdce;Zahraniční diplomat
Jaký byl hlavní přínos Petra Chelčického?;Učení o nenásilí, rovnosti a náboženské toleranci;Reforma daní;Obrana církve;Překlady z řečtiny
Kdo byl Jan Amos Komenský?;Český pedagog a filosof, autor filosofie všenápravy;Hudební skladatel;Římský voják;Italský básník
Co je pansofie?;Učení J. A. Komenského o všenápravě a spojení vědění;Předpis o škole;Zákoník církve;Metoda vaření
Jaký je význam Komenského ve světové filosofii?;Ovlivnil vzdělávání, výchovu a filozofii v Evropě;Vedl vojsko;Řídil univerzity;Založil města
Kdo byl Tomáš Garrigue Masaryk?;Český filosof, zakladatel Československa;Řecký vědec;Německý generál;Francouzský filosof
Jaké byly filosofické názory Masaryka?;Kritický realismus, důraz na humanitu a demokracii;Náboženský dogmatismus;Autoritářství;Irracionalismus
Jak Masaryk ovlivnil českou společnost?;Podporoval demokracii, vzdělání a lidská práva;Zavedl diktaturu;Založil stranu;Zrušil školy
Kdo byl Jan Patočka?;Český filosof, představitel fenomenologie;Italský právník;Rakouský císař;Ředitel školy
Co znamená 'péče o duši' u Patočky?;Filosofická výzva k hlubokému poznání a odpovědnosti;Péče o tělo;Zdravotní pojištění;Zákon o sportu
Jaký byl vztah Patočky k politice?;Byl signatářem Charty 77, zasazoval se o lidská práva;Vedl vládu;Založil stranu;Byl prezidentem
Co znamená fenomenologie?;Filosofický směr zkoumající vědomí a zkušenost;Zákon o astronomii;Ekonomická teorie;Historický přehled
Jaké je místo české filosofie v evropském kontextu?;Přispěla k vývoji fenomenologie, vzdělávání a lidských práv;Založila školy;Změnila ekonomii;Vytvořila armádu
Jaký je význam české filosofie pro dnešek?;Inspiruje etiku, občanskou společnost a vzdělání;Ovlivňuje módu;Řídí dopravu;Řeší kriminalitu
Kdo byl významný současný český filosof?;Jan Sokol;Albert Einstein;F. Nietzsche;René Descartes
Co je filozofie 'všenápravy'?;Myšlenka Komenského o nápravě světa pomocí vědy a víry;Zákon o rodině;Program politické strany;Kniha receptů
Proč studovat českou filosofii?;Odráží dějiny a hodnoty národa, přináší nadčasové myšlenky;Pomáhá při řízení aut;Zajišťuje výhry;Učí jazyky
