Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je binární kód?";"Reprezentace dat pomocí 0 a 1";"Reprezentace dat pomocí 1 a 2";"Reprezentace dat pomocí písmen";"Reprezentace dat pomocí barev"
"Jaká je hodnota znaku 'A' v ASCII?";"65";"97";"48";"32"
"Co používá dvojkový doplněk v binárním kódu?";"Reprezentaci záporných čísel";"Reprezentaci kladných čísel";"Reprezentaci textu";"Reprezentaci barev"
"Co vyjadřuje logická funkce NOT?";"Inverzi logického signálu";"Logický součet";"Logický součin";"Exkluzivní součet"
"Jaký je výstup logické funkce AND při všech vstupech 1?";"1";"0";"Záleží na podmínce";"Nelze určit"
"Jaká je základní vlastnost logické funkce OR?";"Výstup je 1, pokud je alespoň jeden vstup 1";"Výstup je 1, pokud jsou všechny vstupy 1";"Výstup je 1, pokud jsou všechny vstupy 0";"Výstup je 0, pokud je alespoň jeden vstup 1"
"Jaká je hlavní vlastnost logické funkce XOR?";"Výstup je 1, pokud se vstupy liší";"Výstup je 1, pokud jsou vstupy stejné";"Výstup je vždy 0";"Výstup je vždy 1"
"Jaký je výsledek logické funkce NOT, pokud vstup je 0?";"1";"0";"Záleží na vstupu";"Nelze určit"
"Jaké jsou univerzální logické hradla?";"NAND a NOR";"AND a OR";"XOR a XNOR";"NOT a AND"
"Co vyjadřuje De Morganův zákon pro negaci logického součinu?";"Negace AND je OR s negovanými vstupy";"Negace OR je AND s negovanými vstupy";"Negace XOR je XNOR";"Negace NOT je AND"
"Jaký je výsledek funkce AND při vstupech 1 a 0?";"0";"1";"Nelze určit";"Záleží na podmínce"
"Jaký je výsledek funkce OR při vstupech 0 a 0?";"0";"1";"Nelze určit";"Záleží na podmínce"
"Jaký je hlavní přínos minimalizace logických funkcí?";"Snížení počtu hradel a zvýšení efektivity";"Zvýšení počtu proměnných";"Zvýšení počtu hradel";"Snížení rychlosti"
"Jaký je hlavní účel Karnaughovy mapy?";"Minimalizace logických funkcí";"Převod binárních čísel na desetinná";"Sčítání binárních čísel";"Kódování textu"
"Jaký logický výraz odpovídá De Morganovu zákonu (A ⋅ B)'?";"A' + B'";"A + B";"A ⋅ B";"A' ⋅ B'"
"Jaký je hlavní rozdíl mezi kombinačním a sekvenčním obvodem?";"Sekvenční obvody mají paměť, kombinační ne";"Kombinační obvody mají paměť, sekvenční ne";"Sekvenční obvody nemají logické hradla";"Kombinační obvody nemají žádné vstupy"
"Jaký typ logického obvodu provádí aritmetické operace, jako je sčítání?";"Sčítač";"Dekodér";"Multiplexer";"Registr"
"Jaký obvod se používá pro výběr jednoho z více vstupů?";"Multiplexer";"Dekodér";"Sčítač";"Klopný obvod"
"Jaká je hlavní vlastnost klopného obvodu?";"Uchovávání bitu informace";"Směrování dat";"Převod analogového signálu";"Výběr jednoho z více vstupů"
"Jaká hradla jsou využívána pro realizaci všech logických funkcí?";"NAND a NOR";"AND a OR";"XOR a XNOR";"NOT a AND"
"Co znamená zjednodušení logické funkce pomocí Booleovy algebry?";"Snížení počtu proměnných a hradel";"Zvýšení počtu proměnných";"Komplikace logického výrazu";"Výpočet binárního součtu"
"Jaký obvod umožňuje převod binárních vstupů na jedinečný výstup?";"Dekodér";"Sčítač";"Multiplexer";"Klopný obvod"
"Co zajišťuje multiplexování v digitálních obvodech?";"Výběr jednoho z více vstupů na výstup";"Součet binárních čísel";"Převod analogového signálu";"Kódování textu"
"Co je hlavním přínosem použití sekvenčních obvodů?";"Uchovávání stavu a dat";"Rychlost sčítání";"Snížení spotřeby energie";"Zvýšení šířky pásma"
