Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou stélkaté rostliny?;Nižší rostliny bez rozlišení na kořen, stonek a list;Rostliny se složitou stavbou;Dvouděložné rostliny;Rostliny s květy
Jaké skupiny patří mezi stélkaté rostliny?;Řasy, mechorosty;Květiny a stromy;Jehličnany;Kapraďorosty
K čemu slouží stélka?;K fotosyntéze a přichycení k podkladu;K dýchání;K opylení;K tvorbě květů
Kde se nejčastěji vyskytují stélkaté rostliny?;Ve vodním prostředí;Na pouštích;V půdě;Na listech stromů
Jaký význam mají řasy v přírodě?;Produkují kyslík a tvoří základ potravních řetězců;Způsobují nemoci;Ukládají vodu;Přeměňují dusík
Co je typické pro zelené řasy?;Chlorofyl a fotosyntéza;Parazitismus;Suchozemský život;Dřevnatění
Co je přechod mezi stélkatými a cévnatými rostlinami?;Mechorosty;Kapraďorosty;Plavuně;Cykasy
Jaké oddělení patří mezi mechorosty?;Játrovky, hlevíky, mechy;Kapradiny, přesličky, plavuně;Řasy a houby;Jehličnany
Jak se rozmnožují mechorosty?;Výtrusy;Semeny;Opylením;Pučením
Které rostliny patří mezi kapraďorosty?;Kapradiny, plavuně, přesličky;Mechy, řasy, játrovky;Lilie, trávy, růže;Borovice, jedle, smrk
Kde rostou kapraďorosty?;Ve vlhkých a stinných místech;Na suchých stepích;Ve slané vodě;Na písčitých pouštích
Jak se rozmnožují kapraďorosty?;Pomocí výtrusů;Semeny;Cibulkami;Květy
Jaké orgány jsou typické pro kapradiny?;Listy s výtrusnicemi;Květy a plody;Kořeny a květní lůžka;Stonky s pupeny
Co jsou výtrusnice?;Pouzdra s výtrusy;Buňky jádra;Cévní svazky;Kořenové chlupy
Která část kapraďorostu nese výtrusy?;Spodní strana listů;Vrchol stonku;Kořenové vlásky;Květní čnělka
Jak se nazývá samostatné pohlavní stádium vývoje kapraďorostu?;Prokel;Sporofyt;Gametofyt;Zárodek
Které období je známé hojností kapraďorostů?;Prvohory (karbon);Kenozoikum;Čtvrtohory;Křída
Jaké znaky mají plavuně?;Plazivý stonek, drobné listy, výtrusnice;Květy, plody, semena;Kořeny, výhonky, pupeny;Hojně větvené cévy
Co je významným ekologickým přínosem kapraďorostů?;Tvorba rašeliny, podpora biodiverzity;Výroba cukru;Škodlivost pro půdu;Zásobárna kyslíku
Proč nejsou stélkaté rostliny cévnaté?;Nemají specializované vodivé pletivo;Nemají chlorofyl;Nežijí ve vodě;Jsou parazité
