Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je počítačová grafika?";"Obor informatiky zabývající se zpracováním a zobrazováním obrazů";"Program na kreslení obrázků";"Hardware pro vykreslování videí";"Soubor grafických karet"
"Co je rendering?";"Proces převodu 3D modelu na 2D obraz";"Editace bitmapového obrázku";"Převod textu na grafický formát";"Vytváření vektorových ilustrací"
"Jaké jsou hlavní formáty bitmapové grafiky?";"JPG, PNG, BMP, GIF";"SVG, AI, EPS";"PDF, DOC, TXT";"MP3, WAV, FLAC"
"Co je vektorová grafika?";"Obrázky tvořené geometrickými objekty";"Obrázky tvořené jednotlivými pixely";"Zvukové soubory s vysokým rozlišením";"Fotografie ve vysokém rozlišení"
"Co je barevná hloubka?";"Počet bitů pro reprezentaci barvy jednoho pixelu";"Počet pixelů na obrazovce";"Počet barev na monitoru";"Rozlišení obrazovky"
"Jaká je maximální barevná hloubka True Color?";"24 bitů";"8 bitů";"16 bitů";"32 bitů"
"Co je dedikovaná grafická karta?";"Samostatná karta pro zpracování grafiky";"Integrovaný grafický čip v procesoru";"Software pro kreslení";"Zvuková karta"
"Co je to VRAM?";"Paměť grafické karty pro ukládání textur a grafických dat";"Paměť RAM v základní desce";"Optická paměť na disku";"Záložní paměť v procesoru"
"Jaký je princip 7segmentového displeje?";"Zobrazuje číslice pomocí 7 LED segmentů";"Zobrazuje text pomocí maticového displeje";"Používá OLED pixely pro vykreslení";"Zobrazuje obrazy ve vysokém rozlišení"
"Co je BCD kód?";"Kódování číslic pomocí 4bitových binárních hodnot";"Komprimace obrázků do formátu BMP";"Zvukový formát pro bezztrátovou kompresi";"Programovací jazyk pro grafické aplikace"
"Co je osciloskop?";"Měřicí přístroj pro zobrazení elektrických signálů v čase";"Zařízení pro přehrávání zvuků";"3D tiskárna pro výrobu modelů";"Software pro vykreslování grafiky"
"Jaký je hlavní rozdíl mezi LCD a OLED?";"LCD používá tekuté krystaly, OLED organické diody";"LCD využívá laserové projekce, OLED mikrozrcadla";"OLED je pomalejší než LCD";"OLED vyžaduje chlazení ventilátorem"
"Jaký typ displeje je odolný proti poškrábání a vhodný pro stylus?";"Rezistivní dotykový displej";"Kapacitní dotykový displej";"OLED displej";"Plazmový displej"
"Jaký je hlavní rozdíl mezi kapacitním a rezistivním dotykovým displejem?";"Kapacitní reaguje na vodivé předměty, rezistivní na tlak";"Kapacitní funguje jen s rukavicemi, rezistivní bez nich";"Kapacitní má nižší rozlišení";"Rezistivní funguje pouze s dotykovým perem"
"Co je stylus?";"Vstupní zařízení ve formě pera pro dotykové obrazovky";"Zvuková karta pro editaci hudby";"Software na úpravu fotografií";"Projektor pro prezentace"
"Co je 3D tiskárna?";"Zařízení pro výrobu objektů vrstvením materiálu";"Grafická karta pro vykreslování 3D modelů";"Monitor s prostorovým zobrazením";"Software pro animaci postav"
"Jaký typ 3D tisku využívá tavení plastu?";"FDM (Fusion Deposition Modeling)";"SLA (Stereolithography)";"SLS (Selective Laser Sintering)";"DLP (Digital Light Processing)"
"Jaký je princip 3D skeneru?";"Digitalizace objektu pomocí laseru, světla nebo fotogrammetrie";"Převod textu na 3D model";"Renderování prostorové grafiky";"Vytváření hudebních vizualizací"
"Jaký je hlavní rozdíl mezi bitmapovou a vektorovou grafikou?";"Bitmapová používá pixely, vektorová geometrické objekty";"Bitmapová je menší než vektorová";"Vektorová má nižší kvalitu než bitmapová";"Bitmapová je vždy černobílá"
"Jaká je hlavní výhoda vektorové grafiky oproti bitmapové?";"Nekonečná škálovatelnost bez ztráty kvality";"Rychlejší vykreslování na obrazovce";"Nižší spotřeba energie";"Lepší kompatibilita s audio formáty"
