Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Co je principem čtení u HDD?";"Magnetický záznam na rotujících plotnách";"Elektronické přepínání v čipu";"Optický laserový záznam";"Mechanické čtení dat"
"Jaký je hlavní rozdíl mezi HDD a SSD?";"HDD je mechanický, SSD je elektronický";"HDD má větší rychlost než SSD";"SSD je levnější než HDD";"SSD má kratší životnost než HDD"
"Jaké rozhraní je typické pro SSD?";"NVMe";"IDE";"SATA II";"PCI"
"Jaká je hlavní výhoda SSD oproti HDD?";"Vyšší rychlost čtení a zápisu";"Nižší cena za GB";"Větší kapacita";"Větší odolnost proti mechanickému poškození"
"Co je to RAID?";"Technologie pro kombinaci více disků";"Technologie pro zvýšení frekvence CPU";"Typ paměti RAM";"Způsob připojení USB zařízení"
"Jaký RAID poskytuje zrcadlení dat?";"RAID 1";"RAID 0";"RAID 5";"RAID 10"
"Jaký RAID zajišťuje nejvyšší rychlost zápisu?";"RAID 0";"RAID 1";"RAID 5";"RAID 10"
"Jaký RAID poskytuje kombinaci výkonu a redundance?";"RAID 10";"RAID 0";"RAID 1";"RAID 5"
"Co je cloudové úložiště?";"Datové úložiště poskytované vzdálenými servery";"Typ lokálního HDD";"SSD připojené přes USB";"Interní úložiště v počítači"
"Jaká je hlavní výhoda cloudového úložiště?";"Přístup odkudkoliv";"Nižší náklady na hardware";"Větší rychlost než HDD";"Možnost mechanické zálohy"
"Jaký je hlavní princip zálohování dat?";"Vytváření kopie dat na jiné úložiště";"Přímé mazání starých dat";"Kompresování dat do jednoho souboru";"Připojení externího disku"
"Jaká je hlavní výhoda komprese dat?";"Snížení velikosti souboru";"Zvýšení bezpečnosti dat";"Zrychlení přístupu k datům";"Automatické zálohování"
"Jaká je hlavní nevýhoda cloudového úložiště?";"Závislost na internetovém připojení";"Nemožnost sdílení dat";"Malá kapacita";"Vysoká cena za GB"
"Jaký typ zálohy zahrnuje pouze změněná data?";"Inkrementální záloha";"Plná záloha";"Diferenciální záloha";"Kompletní záloha"
"Jaká je nevýhoda zálohy na externí HDD?";"Riziko mechanického poškození";"Nízká rychlost zápisu";"Vysoká cena";"Malá kapacita"
"Co je souborový systém NTFS vhodný pro?";"Windows";"Linux";"MacOS";"Mobilní zařízení"
"Jaký souborový systém je nejvhodnější pro flash disky?";"exFAT";"NTFS";"FAT32";"EXT4"
"Co je hlavní výhodou souborového systému FAT32?";"Kompatibilita s většinou zařízení";"Podpora velkých souborů nad 4 GB";"Vysoká rychlost zápisu";"Podpora šifrování"
"Jaké optické médium má nejvyšší kapacitu?";"Blu-ray";"CD";"DVD";"MiniDisc"
"Jaká je typická kapacita DVD?";"4,7 GB";"700 MB";"128 GB";"25 GB"
"Jaký typ média je vhodný pro ukládání hudby ve formátu MP3?";"Flash disk";"SSD";"Blu-ray";"HDD"
"Jaký typ rozhraní se používá pro připojení externího HDD?";"USB";"PCIe";"SATA";"NVMe"
"Jaký typ flash paměti je nejčastěji použit v USB flash discích?";"NAND";"DRAM";"SRAM";"EEPROM"
"Co znamená NVMe u SSD?";"Non-Volatile Memory Express";"Network Virtual Memory Extension";"Near Voltage Memory Environment";"New Virtual Memory Extension"
"Jaká je výhoda NVMe oproti SATA?";"Vyšší rychlost čtení a zápisu";"Nižší cena";"Delší životnost";"Nižší spotřeba energie"
