Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdo jsou prvoci?;Jednobuněční eukaryotičtí organismy;Mnohobuněční parazité;Nižší rostliny;Houby s pletivy
Jak se prvoci pohybují?;Bičíky, brvami nebo panožkami;Letem;Klonováním;Pomocí vlnění vody
Který zástupce patří mezi prvoky?;Krvinkovka malarická;Škrkavka;Pijavka;Plíseň hlavičková
Jaký je význam prvoků v přírodě?;Součást potravních řetězců a rozkladu organické hmoty;Způsobují fotosyntézu;Zpevňují půdu;Tvoří houby
K čemu může vést infekce prvoky?;K onemocněním jako malárie, toxoplazmóza;K produkci vitamínů;Ke zvýšení imunity;K fotosyntéze
Jak se rozmnožují prvoci?;Pohlavně i nepohlavně;Pupením pouze;Fragmentací;Vždy partenogenezí
Co je bičík u prvoka?;Organela sloužící k pohybu;Vývod trávicího ústrojí;Jádro buňky;Typ parazita
Co jsou diblastica?;Primitivní mnohobuněční živočichové s dvěma zárodečnými listy;Jednobuněční parazité;Obratlovci s kostrou;Svalnatí parazité
Jaké dvě zárodečné vrstvy mají diblastica?;Ektoderm a entoderm;Mesoderm a endoderm;Exoskelet a mesoderm;Kutikula a ektoderm
Který z těchto živočichů je diblastický?;Žahavci;Hlenky;Kroužkovci;Hlístice
Co je vývojový stupeň gastruly?;Zárodečné stádium se dvěma vrstvami;Dospělý jedinec;Konečná forma;Stavba srdce
Jaké tkáně vznikají z ektodermu?;Pokožka a nervová tkáň;Trávicí soustava;Svalovina;Krevní buňky
Jaké tkáně vznikají z entodermu?;Výstelka trávicí trubice;Kůže a zuby;Kostní dřeň;Svaly
Co znamená termín pohlavní dimorfismus u prvoků?;Rozdíl mezi samčí a samičí formou;Stejný vzhled obou pohlaví;Neschopnost rozmnožování;Dělení pomocí gamet
Který prvok je přenašečem malárie?;Plasmodium (krvinkovka);Trypanozoma;Lamblie;Měňavka
Kde se běžně vyskytují prvoci?;V půdě, vodě a jako parazité;Jen v krvi savců;Pouze ve střevech;Na listech rostlin
Co je cysta u prvoka?;Odolné klidové stádium;Pohlavní buňka;Vylučovací orgán;Pohybový orgán
Co je mezoglea u diblastik?;Rohovitá hmota mezi dvěma zárodečnými listy;Jádro buňky;Cévní pletivo;Trávicí žláza
Co znamená biogenetické pravidlo?;Opakuje se evoluce při vývoji zárodku;Jedinec se nemění;Organismus se vyvíjí náhodně;Všichni jedinci mají stejné geny
Jaký význam mají prvoci ve výzkumu?;Modelové organismy pro studium buněčných funkcí;Tvoří dřevo;Způsobují fotosyntézu;Tvoří vitamín C
