Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je osvícenství?;Myšlenkové hnutí zdůrazňující rozum, vědu a individualismus;Církevní reforma;Kultura středověku;Válečný plán
Ve kterém století probíhalo osvícenství?;18. století;17. století;16. století;19. století
Kdo byl významným představitelem osvícenství ve Francii?;Voltaire;Machiavelli;Robespierre;Marx
Jaký filozof prosazoval dělbu moci ve státě?;Montesquieu;Locke;Hobbes;Voltaire
Jaký byl postoj osvícenců k církvi?;Kritický, požadovali oddělení církve od státu;Podporovali nadvládu církve;Byli členy kléru;Neřešili ji
Kdo byl John Locke?;Anglický filozof, který ovlivnil liberalismus;Francouzský král;Ruský car;Papež
Jaké reformy prosazoval osvícenský absolutismus?;Modernizace státu, školství, práva;Zavedení cenzury;Zrušení obchodu;Zákaz knih
Kdo byl osvícenským panovníkem v Rakousku?;Josef II.;Ferdinand II.;Karel VI.;Ludvík XIV.
Který panovník zavedl toleranční patent?;Josef II.;František I.;Marie Terezie;Karel VI.
Jaký byl význam tolerančního patentu?;Zaručil náboženskou svobodu nekatolíkům;Zavedl otroctví;Zrušil církev;Zrušil právo na vzdělání
Kdo byla Marie Terezie?;Rakouská panovnice, matka Josefa II.;Francouzská královna;Císařovna Svaté říše;Osvícená filozofka
Co znamená národní obrození?;Proces obnovy českého jazyka, kultury a identity;Rozpad Rakouska;Zánik církve;Vznik monarchie
Kdy probíhalo národní obrození?;Konec 18. a první polovina 19. století;15. století;20. století;13. století
Kdo byl Josef Dobrovský?;Jazykovědec a historik;Spisovatel;Císař;Herec
Jaký byl přínos Josefa Jungmanna?;Vytvoření českého slovníku a jazykové obnovy;Založení univerzity;Boje za nezávislost;Návrh ústavy
Které divadlo sehrálo roli v národním obrození?;Stavovské divadlo;Národní divadlo;Divadlo na Vinohradech;Činoherní klub
Kdo byl František Palacký?;Historik, autor Dějin národa českého;Herec;Překladatel;Architekt
Jaký byl hlavní cíl národního obrození?;Obnova českého jazyka a kultury;Zrušení monarchie;Revoluce;Náboženská svoboda
Jak se nazývá období českého obrození?;Národní obrození;Renesance;Baroko;Secese
Jaký vliv mělo obrození na budoucí politiku?;Připravilo půdu pro vznik české státnosti;Způsobilo úpadek;Posílilo monarchii;Zrušilo školství
Kdo byl významným představitelem osvícenství ve Francii?;Voltaire;Machiavelli;Luther;Zwingli
Jaký panovník je známý jako osvícenský absolutista v Rakousku?;Josef II.;František Josef I.;Leopold II.;Ferdinand V.
Jaká byla hlavní reforma Josefa II.?;Zrušení nevolnictví;Zavedení cenzury;Rozšíření absolutismu;Zákaz církví
Co znamená osvícenský absolutismus?;Forma vlády kombinující absolutní moc s reformami osvícenství;Demokratický stát;Církevní vláda;Anarchie
Který ruský car byl považován za osvícenského vládce?;Kateřina II.;Ivan IV.;Petr I.;Alexandr I.
Kdo byl významným filozofem osvícenství?;Jean-Jacques Rousseau;Jan Amos Komenský;Karl Marx;Thomas Hobbes
Co znamená národní obrození?;Obnova národní identity, jazyka a kultury;Rozpad monarchie;Založení republiky;Zánik národa
Kdy začalo národní obrození v českých zemích?;Na konci 18. století;V polovině 19. století;V 17. století;Na počátku 20. století
Kdo byl významným jazykovědcem českého národního obrození?;Josef Dobrovský;Karel Havlíček Borovský;Božena Němcová;Alois Jirásek
Který spisovatel napsal „Dějiny českého národa v Čechách a na Moravě“?;František Palacký;Josef Jungmann;Jan Neruda;T. G. Masaryk
Jaký byl cíl národního obrození?;Obnovení českého jazyka a kultury;Založení státu;Zrušení šlechty;Získání kolonií
Jaký význam měla česká literatura v obrození?;Podpora národní identity;Zavedení daní;Zrušení náboženství;Obrana šlechty
Kdo napsal Slovník česko-německý?;Josef Jungmann;František Palacký;Václav Hanka;Božena Němcová
Který časopis vydával Karel Havlíček Borovský?;Národní noviny;Literární listy;Čas;Obzor
Jaký význam měl Josef II. pro náboženský život?;Toleranční patent;Zákaz církví;Reformace;Zrušení všech řádů
Jaký byl vztah osvícenství k církvi?;Kritický – zdůraznění rozumu;Podpora papežství;Vytváření nových náboženství;Zákaz vzdělávání
