Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Odkud pravděpodobně přišli Slované?;Z oblasti mezi Vislou a Dněprem;Z Balkánu;Z Pyrenejského poloostrova;Ze Skandinávie
Jaký jazykový kmen tvoří Slované?;Indoevropský;Germánský;Románský;Ugrofinský
Kdy začali Slované osidlovat naše území?;6. století;3. století;9. století;1. století
Který kmen je považován za první známý slovanský kmen u nás?;Sámova říše;Moravané;Čechové;Sloveni
Kdy vznikla Sámova říše?;7. století;6. století;9. století;5. století
Proti komu bojovala Sámova říše?;Frankům;Byzantincům;Římanům;Slovanům
Kdo byl Sámo?;Francký kupec a vůdce Slovanů;Římský vojevůdce;Slovanský kněz;Byzantský císař
Jaký útvar následoval po Sámově říši?;Velkomoravská říše;Přemyslovský stát;České knížectví;Byzantská provincie
Kdy vznikla Velkomoravská říše?;9. století;7. století;11. století;6. století
Kdo byli věrozvěsti Cyril a Metoděj?;Šířili křesťanství a vytvořili písmo hlaholici;Byli vojevůdci;Byli řemeslníci;Byli kupci
Jak se nazývá písmo, které Cyril a Metoděj přinesli?;Hlaholice;Cyrilice;Latinka;Runy
Jaký vládce je spojen s rozkvětem Velkomoravské říše?;Svatopluk;Mojmír I.;Vratislav;Břetislav
Kdo byli Mojmírovci?;Panovnický rod Velké Moravy;Kněžský rod;Nájezdníci z východu;Obchodníci
Co bylo hlavním náboženstvím Velké Moravy?;Křesťanství;Pohanství;Zoroastrismus;Judaismus
Jaký jazyk se užíval při bohoslužbách díky Cyrilu a Metodějovi?;Staroslověnština;Latinčina;Řečtina;Germánština
Jak skončila Velkomoravská říše?;Zánikem kvůli útokům Maďarů;Rozpadem na knížectví;Zničením Římany;Rozdělením na Čechy a Slovensko
Který kmen se usídlil v Čechách po zániku Velké Moravy?;Čechové;Germáni;Frankové;Bavoři
Jak se nazývá první doložený český kníže?;Bořivoj I.;Svatopluk;Mojmír;Vratislav
Kdo byl Bořivojův syn?;Spytihněv I.;Boleslav I.;Václav;Vratislav I.
Jaký význam měla christianizace Slovanů?;Posílila státní moc a kulturní rozvoj;Zničila místní kulturu;Způsobila války;Vedla k emigraci
