Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Jaký znak je typický pro ptáky?;Přítomnost peří;Srst;Žábry;Chitinová schránka
Jaký je účel dutých kostí u ptáků?;Snížení hmotnosti pro let;Zvýšení pevnosti pro běh;Ochrana proti predátorům;Zásoba vápníku
K čemu slouží vole u ptáků?;Uchování a změkčení potravy;Trávení tuků;Dýchání;Zásoba vody
Jaké je srdce ptáků?;Čtyřdílné – dvě síně a dvě komory;Třídílné;Jednoduché;Má pouze jednu komoru
Jaký typ vývoje mají ptáci?;Přímý;Nepřímý s larvou;Proměna dokonalá;Střídání generací
Jak se ptáci podílejí na ekosystémech?;Rozšiřují semena, regulují populace hmyzu;Znečišťují prostředí;Ničí rostliny;Snižují úrodnost půdy
Co je typickým znakem savců?;Srst a mléčné žlázy;Křídla a peří;Žábry;Kutikula
Jak se rozdělují savci?;Vejcorodí, vačnatci, placentálové;Plazivci, letci, běžci;Bezocasí a ocasatí;Suchozemští a vodní
Jaký je význam srsti u savců?;Tepelná izolace a ochrana těla;Pomoc při dýchání;Zásoba živin;Orientace v prostoru
Jakou roli hrají savci v přírodě?;Ovlivňují potravní řetězce, šíří semena, regulují populace;Tvoří korálové útesy;Produkují kyslík;Přeměňují světlo na energii
