Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Kdy začala Velká francouzská revoluce?;1789;1776;1799;1804
Jaký dokument přijalo Národní shromáždění ve Francii v roce 1789?;Deklarace práv člověka a občana;Ústava Francie;Deklarace nezávislosti;Listina práv
Jak se jmenoval francouzský král, který byl popraven během revoluce?;Ludvík XVI.;Ludvík XIV.;Napoleon Bonaparte;Karel X.
Kdy byla vyhlášena první Francouzská republika?;1792;1789;1795;1800
Jak se jmenoval vůdce jakobínů během revoluce?;Maximilien Robespierre;Georges Danton;Jean-Paul Marat;Napoleon Bonaparte
Jak se nazývá období masových poprav během revoluce?;Jakobínská diktatura (období teroru);Osvícenství;Restaurace;Reformace
Kdo se stal hlavou Francie po státním převratu v roce 1799?;Napoleon Bonaparte;Ludvík XVIII.;Robespierre;Talleyrand
Kdy se Napoleon prohlásil císařem?;1804;1799;1812;1815
Která slavná bitva znamenala Napoleonovu porážku v Rusku?;Bitva u Borodina;Bitva u Lipska;Bitva u Slavkova;Bitva u Trafalgaru
Kde proběhla Napoleonova poslední bitva?;Bitva u Waterloo;Bitva u Lipska;Bitva u Slavkova;Bitva u Jeny
Kdy proběhla bitva u Waterloo?;1815;1805;1812;1799
Jaký byl výsledek bitvy u Waterloo?;Napoleon byl definitivně poražen;Napoleon zvítězil;Francie získala Belgii;Byl uzavřen mír s Británií
Kam byl Napoleon po Waterloo poslán do exilu?;Ostrov Svatá Helena;Elba;Korfu;Sicílie
Kdy zasedal Vídeňský kongres?;1814–1815;1789;1804;1820
Jaký byl hlavní cíl Vídeňského kongresu?;Obnova poměrů v Evropě po Napoleonových válkách;Zrušení otroctví;Vytvoření nové říše;Založení OSN
Které státy tvořily tzv. Svatou alianci?;Rakousko, Rusko, Prusko;Francie, Anglie, Španělsko;Itálie, Německo, Švýcarsko;USA, Rusko, Británie
Kdo reprezentoval Rakousko na Vídeňském kongresu?;Klemens Metternich;František Josef;Karl Schwarzenberg;Ludvík Filip
Jaký byl hlavní princip obnovený Vídeňským kongresem?;Legitimita monarchií;Demokracie;Volný trh;Volební právo pro ženy
Které území získalo Prusko po Vídeňském kongresu?;Porýní;Alsasko;Sicílii;Benátky
Co následovalo po období napoleonských válek v Evropě?;Restaurace monarchií;Založení Francouzské republiky;Rozpad Německa;Vznik USA
