Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je termochemie?;Studium tepla uvolněného nebo pohlceného při chemických reakcích;Studium rychlosti chemických reakcí;Teorie vazby;Výroba tepla
Co je exotermní reakce?;Reakce, při které se uvolňuje teplo;Reakce, která pohlcuje teplo;Teplota se nemění;Reakce pouze v plynech
Co je endotermní reakce?;Reakce, která pohlcuje teplo;Reakce, při které se uvolňuje teplo;Neutralizace;Redoxní reakce
Co je reakční teplo?;Množství tepla uvolněného nebo pohlceného při reakci;Teplota reakční směsi;Energie vazby;Teplota varu
Jak se značí reakční teplo?;ΔH;Q;T;ΔS
Co je spalné teplo?;Množství tepla uvolněného při spálení 1 molu látky;Teplota vznícení;Energie nutná pro rozklad;Rychlost hoření
Co je slučovací teplo?;Teplo uvolněné při vzniku sloučeniny z prvků;Teplo při tání;Teplo při sublimaci;Teplo při kondenzaci
Co je chemická kinetika?;Studium rychlosti chemických reakcí;Studium skupenství;Vazebná teorie;Studium iontových rovnic
Co je reakční rychlost?;Změna koncentrace látky za jednotku času;Teplota reakce;Objem reaktoru;Počet vazeb
Jaké faktory ovlivňují rychlost reakce?;Teplota, koncentrace, přítomnost katalyzátoru;Barva látky;Skupenství;Značka přístroje
Co je aktivační energie?;Minimální energie nutná pro zahájení reakce;Teplota varu;Stupeň oxidace;Rychlost reakce
Co je rovnováha chemické reakce?;Stav, kdy rychlosti přímé a zpětné reakce jsou stejné;Nezvratná přeměna;Teplo z reakce;Změna skupenství
Co je rovnovážná konstanta?;Poměr koncentrací produktů a reaktantů v rovnováze;Změna teploty;Objem nádoby;Katalytická síla
Jak se značí rovnovážná konstanta?;K;Q;R;T
Co říká Le Chatelierův princip?;Systém v rovnováze reaguje na změny tak, aby se rovnováha obnovila;Teplota roste s tlakem;Reakce je rychlejší za světla;Rovnice se vyčíslí automaticky
Co je enzym?;Biologický katalyzátor;Bílkovina s hormonální funkcí;Transportní molekula;Lipofilní sloučenina
Z čeho jsou složeny enzymy?;Z bílkovin;Z lipidů;Z cukrů;Z kovů
Jak enzymy ovlivňují chemické reakce?;Snižují aktivační energii;Zvyšují teplotu reakce;Zpomaluji průběh;Neutralizují produkty
Kolik tříd enzymů existuje?;Šest;Tři;Devět;Čtyři
Co je substrát enzymu?;Látka, na kterou enzym působí;Katalyzátor;Výsledný produkt;Inhibitor
