Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou halogeny?;Prvky 17. skupiny periodické soustavy;Prvky alkalických kovů;Prvky vzácných plynů;Prvky železné skupiny
Který prvek je halogen?;Fluor;Sodík;Síra;Vápník
Jaké jsou vlastnosti halogenů?;Reaktivní, tvoří sloučeniny s většinou prvků;Nezreagují téměř s ničím;Jsou kovové;Jsou těžké kovy
Jak se vyskytují halogeny v přírodě?;Pouze ve sloučeninách;Jako volné prvky;Jako soli vzácných plynů;Jako minerály kovů
Který halogen je nejvíce reaktivní?;Fluor;Chlor;Brom;Jód
Jaký je vzorec molekuly chloru?;Cl₂;Cl;ClO;ClH
K čemu se používá chlor?;Dezinfekce, výroba plastů;Výroba kyselin;Jako palivo;V potravinářství
Co je halogenderivát?;Organická sloučenina s navázaným halogenem;Derivát vody;Sloučenina s dvojnou vazbou;Hydroxidová sloučenina
Jaké halogeny se vyskytují v halogenderivátech?;F, Cl, Br, I;C, H, O;Na, K, Ca;N, S, P
Co ovlivňuje vlastnosti halogenderivátů?;Typ a poloha halogenu;Délka uhlíkového řetězce;Počet vodíkových atomů;Teplota tání
Jaký je vzorec pro chlormethan?;CH₃Cl;CH₂Cl₂;CCl₄;CHCl₃
Jaký je hlavní průmyslový význam halogenderivátů?;Rozpouštědla, chladiva, pesticidy;Zásady;Barviva;Katalyzátory
Který halogenderivát se používal jako chladivo?;Freony;Estery;Alkoholy;Aminy
Jaký je problém s freony?;Poškozují ozonovou vrstvu;Jsou kyselé;Jsou zásadité;Jsou příliš těžké
Jaké vlastnosti mají halogenderiváty?;Nízkovroucí, hořlavé, nepolární;Silně iontové;Těžké kovy;Zásadité
Jak reagují halogenderiváty s hydroxidem sodným?;Vznik alkoholu a soli;Vznik halogenu;Redukce kovu;Tvoří kyseliny
Co je triviální název pro trichlormethan?;Chloroform;Freon;Chloramin;Brommethan
Jaká sloučenina se označuje jako CCl₄?;Tetrachlormethan;Trichlormethan;Dichlormethan;Monochlormethan
Který halogen má největší atomové číslo?;I;F;Br;Cl
Proč jsou halogenderiváty významné v chemii?;Mají široké využití a reaktivitu;Nejsou toxické;Jsou inertní;Tvoří jen estery
