Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co jsou koordinační sloučeniny?;Sloučeniny tvořené centrálním atomem a ligandy;Kyseliny s hydroxylovou skupinou;Estery aromátů;Kationty halogenidů
Jaký prvek často tvoří koordinační sloučeniny?;Přechodné kovy;Alkalické kovy;Halogeny;Nekovy
Co je ligand?;Molekula nebo ion navázaný na centrální atom;Sloučenina síry;Alkaloid;Hydroxid
Jaký typ vazby se vyskytuje mezi ligandem a centrálním atomem?;Koordinačně-kovalentní vazba;Vodíková vazba;Iontová vazba;Kovalentní polární vazba
Jaká je role koordinačních sloučenin v biologii?;Součást enzymů a transportních systémů;Tvorba tuků;Zásobárna glukózy;Vazba dusíku
Jaký komplex tvoří železo v hemoglobinu?;[Fe(II)];[Fe(CN)₆]³⁻;[Fe(CO)₅];[Fe(OH)₄]⁻
Jaký je význam chelátových komplexů?;Vysoká stabilita a biologická dostupnost;Nízká toxicita;Barvivo;Snížená polarita
Co je vitamín?;Organická látka nezbytná v malém množství pro životní funkce;Minerální látka;Protein;Lipofilní barvivo
Jak se dělí vitamíny podle rozpustnosti?;Rozpustné ve vodě a v tucích;Rozpustné v alkoholu a etheru;Rozpustné v bílkovinách;Rozpustné v dusíku
Které vitamíny jsou rozpustné ve vodě?;Vitamíny B a C;Vitamíny A, D, E, K;Vitamíny D a E;Vitamíny A a K
Které vitamíny jsou rozpustné v tucích?;A, D, E, K;B, C;A, B, D;C, D, E
Co je nedostatek vitamínu C?;Způsobuje kurděje;Způsobuje anémii;Způsobuje osteoporózu;Způsobuje rakovinu
Jaký vitamín je důležitý pro zrak?;Vitamín A;Vitamín C;Vitamín B12;Vitamín D
Jaký vitamín je důležitý pro tvorbu červených krvinek?;Vitamín B12;Vitamín A;Vitamín K;Vitamín C
Jaký vitamín pomáhá srážení krve?;Vitamín K;Vitamín E;Vitamín D;Vitamín B6
K čemu slouží vitamín D?;Metabolismus vápníku a fosforu;Zlepšuje trávení;Ochrana před viry;Zásoba energie
Který vitamín je antioxidant?;Vitamín E;Vitamín B1;Vitamín D;Vitamín K
Který vitamín se tvoří na slunci?;Vitamín D;Vitamín A;Vitamín C;Vitamín B6
Jaký vitamín je důležitý pro energetický metabolismus?;Vitamín B1;Vitamín K;Vitamín A;Vitamín E
Jaký vitamín se nachází v citrusových plodech?;Vitamín C;Vitamín D;Vitamín B12;Vitamín A
