Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
Co je chemicky čistá látka?;Látka složená z jednoho druhu částic;Směs dvou složek;Látka složená z různých atomů;Látka s proměnlivým složením
Jak dělíme směsi?;Homogenní a heterogenní;Kyselé a zásadité;Organické a anorganické;Tuhé a kapalné
Co je homogenní směs?;Směs s jednotným složením;Směs složená z pevných látek;Směs s různými složkami;Směs s oddělenými vrstvami
Co je skupenství látky?;Fyzikální stav látky;Chemické složení;Barva látky;Reaktivita
Kolik základních skupenství známe?;Tři – pevné, kapalné, plynné;Dvě – pevné a kapalné;Čtyři – pevné, kapalné, plynné, plazma;Jedno – kapalné
Co je soustava látek?;Část prostoru s definovaným chemickým složením;Směs plynů;Jednotka látkové koncentrace;Chemická rovnice
Co je adice?;Připojení molekuly k nenasycené sloučenině;Odštěpení části molekuly;Záměna atomů;Rozklad molekuly
Co je eliminace?;Odštěpení malé molekuly z organické sloučeniny;Připojení atomu;Substituce atomu;Změna skupenství
Co je substituce?;Nahrazení jednoho atomu jiným;Připojení skupiny atomů;Rozštěpení vazby;Změna struktury molekuly
Co je přesmyk?;Změna struktury molekuly bez změny složení;Rozklad molekuly;Odštěpení skupiny;Tvorba iontů
Co je homolytické štěpení?;Štěpení, při kterém každý atom získá jeden elektron;Štěpení vedoucí k tvorbě iontů;Úplné rozštěpení molekuly;Spojení dvou částic
Co vzniká při homolytickém štěpení?;Radikály;Kationty;Anionty;Molekuly
Co je heterolytické štěpení?;Štěpení, při kterém jeden atom získá oba elektrony;Rozdělení elektrického náboje;Tepelný rozklad;Vazba mezi dvěma kovy
Co vzniká při heterolytickém štěpení?;Ionty;Radikály;Neutrální molekuly;Kovy
Jaký typ činidla vzniká homolytickým štěpením?;Radikálové činidlo;Elektrofilní činidlo;Nukleofilní činidlo;Ionizátor
Jaký typ činidla vzniká heterolytickým štěpením?;Elektrofilní nebo nukleofilní činidlo;Radikál;Kation;Neutrální částice
Co je elektrofilní činidlo?;Přitahuje elektrony, má kladný nebo částečně kladný náboj;Daruje elektrony;Je neutrální;Odštěpuje vodík
Co je nukleofilní činidlo?;Daruje elektrony, má záporný nebo volný elektronový pár;Přitahuje elektrony;Je kladné;Odstraňuje vodu
Jaký je rozdíl mezi směsí a chemicky čistou látkou?;Směs je tvořena více složkami, chemicky čistá látka jen jednou;Směs má jednotné složení;Čistá látka nemá vlastnosti;Směs je vždy kapalná
Co je přechod mezi skupenstvími?;Fyzikální děj;Chemická reakce;Rozklad látky;Neutralizace
